denoise_swe-swe: 6500	 acc: --	 ppl:  7.55	 xent: 2.02	  25.10 TFLOP/s	 7449/7311 tok/s	 3327241 sents	  84133 sec	
denoise_swe-swe: 7000	 acc: --	 ppl:  7.37	 xent: 2.00	  24.98 TFLOP/s	 7417/7268 tok/s	 3579746 sents	  90599 sec	
denoise_swe-swe: 7500	 acc: --	 ppl:  7.23	 xent: 1.98	  24.48 TFLOP/s	 7272/7128 tok/s	 3829517 sents	  97032 sec	
denoise_swe-swe: 8000	 acc: --	 ppl:  7.30	 xent: 1.99	  23.38 TFLOP/s	 6946/6816 tok/s	 4087859 sents	 103701 sec	
denoise_swe-swe: 8500	 acc: --	 ppl:  7.13	 xent: 1.96	  25.56 TFLOP/s	 7587/7442 tok/s	 4343775 sents	 110087 sec	
denoise_swe-swe: 9000	 acc: --	 ppl:  6.95	 xent: 1.94	  24.65 TFLOP/s	 7319/7169 tok/s	 4592854 sents	 116643 sec	
denoise_swe-swe: 9500	 acc: --	 ppl:  6.98	 xent: 1.94	  24.63 TFLOP/s	 7309/7165 tok/s	 4840497 sents	 123180 sec	
denoise_swe-swe: 10000	 acc: --	 ppl:  6.93	 xent: 1.94	  25.00 TFLOP/s	 7426/7269 tok/s	 5092909 sents	 129687 sec	
denoise_swe-swe: 10500	 acc: --	 ppl:  6.86	 xent: 1.93	  23.57 TFLOP/s	 6996/6861 tok/s	 5340665 sents	 136444 sec	
denoise_swe-swe: 11000	 acc: --	 ppl:  6.89	 xent: 1.93	  24.36 TFLOP/s	 7236/7095 tok/s	 5595012 sents	 142938 sec	
denoise_swe-swe: 11500	 acc: --	 ppl:  6.84	 xent: 1.92	  24.10 TFLOP/s	 7162/7013 tok/s	 5841628 sents	 149369 sec	
denoise_swe-swe: 12000	 acc: --	 ppl:  6.79	 xent: 1.91	  24.05 TFLOP/s	 7150/7001 tok/s	 6093202 sents	 155871 sec	
denoise_swe-swe: 12500	 acc: --	 ppl:  6.70	 xent: 1.90	  24.69 TFLOP/s	 7341/7181 tok/s	 6345289 sents	 162315 sec	
denoise_swe-swe: 13000	 acc: --	 ppl:  6.72	 xent: 1.91	  23.67 TFLOP/s	 7031/6887 tok/s	 6591635 sents	 168988 sec	

wiki_fin-eng: 500	 acc: --	 ppl: 3252.11	 xent: 8.09	  24.17 TFLOP/s	 7010/7184 tok/s	 255259 sents	   6520 sec	
wiki_fin-eng: 1000	 acc: --	 ppl: 568.69	 xent: 6.34	  24.39 TFLOP/s	 7090/7251 tok/s	 520916 sents	  12941 sec	
wiki_fin-eng: 1500	 acc: --	 ppl: 161.58	 xent: 5.08	  24.43 TFLOP/s	 7101/7246 tok/s	 775176 sents	  19461 sec	
wiki_fin-eng: 2000	 acc: --	 ppl: 27.29	 xent: 3.31	  23.33 TFLOP/s	 6784/6947 tok/s	 1040837 sents	  25884 sec	
wiki_fin-eng: 2500	 acc: --	 ppl: 15.09	 xent: 2.71	  24.31 TFLOP/s	 7061/7228 tok/s	 1303039 sents	  32285 sec	
wiki_fin-eng: 3000	 acc: --	 ppl: 11.73	 xent: 2.46	  22.94 TFLOP/s	 6677/6821 tok/s	 1575721 sents	  39038 sec	
wiki_fin-eng: 3500	 acc: --	 ppl: 10.37	 xent: 2.34	  23.36 TFLOP/s	 6793/6945 tok/s	 1834041 sents	  45470 sec	
wiki_fin-eng: 4000	 acc: --	 ppl:  9.71	 xent: 2.27	  23.98 TFLOP/s	 6977/7120 tok/s	 2094921 sents	  51910 sec	
wiki_fin-eng: 4500	 acc: --	 ppl:  9.23	 xent: 2.22	  23.89 TFLOP/s	 6948/7103 tok/s	 2357571 sents	  58320 sec	
wiki_fin-eng: 5000	 acc: --	 ppl:  8.93	 xent: 2.19	  24.66 TFLOP/s	 7157/7324 tok/s	 2610509 sents	  64741 sec	
wiki_fin-eng: 5500	 acc: --	 ppl:  8.71	 xent: 2.16	  22.58 TFLOP/s	 6574/6713 tok/s	 2872806 sents	  71346 sec	
wiki_fin-eng: 6000	 acc: --	 ppl:  8.44	 xent: 2.13	  23.70 TFLOP/s	 6897/7039 tok/s	 3128492 sents	  77737 sec	
wiki_fin-eng: 6500	 acc: --	 ppl:  8.30	 xent: 2.12	  24.20 TFLOP/s	 7043/7192 tok/s	 3394367 sents	  84128 sec	
wiki_fin-eng: 7000	 acc: --	 ppl:  8.15	 xent: 2.10	  23.98 TFLOP/s	 6971/7118 tok/s	 3651224 sents	  90596 sec	
wiki_fin-eng: 7500	 acc: --	 ppl:  8.17	 xent: 2.10	  24.47 TFLOP/s	 7095/7282 tok/s	 3909960 sents	  97025 sec	
wiki_fin-eng: 8000	 acc: --	 ppl:  8.01	 xent: 2.08	  23.07 TFLOP/s	 6709/6858 tok/s	 4172620 sents	 103700 sec	
wiki_fin-eng: 8500	 acc: --	 ppl:  7.95	 xent: 2.07	  23.45 TFLOP/s	 6824/6974 tok/s	 4433631 sents	 110083 sec	
wiki_fin-eng: 9000	 acc: --	 ppl:  7.85	 xent: 2.06	  23.61 TFLOP/s	 6856/7021 tok/s	 4695013 sents	 116639 sec	
wiki_fin-eng: 9500	 acc: --	 ppl:  7.85	 xent: 2.06	  23.76 TFLOP/s	 6896/7069 tok/s	 4955001 sents	 123179 sec	
wiki_fin-eng: 10000	 acc: --	 ppl:  7.71	 xent: 2.04	  23.69 TFLOP/s	 6890/7046 tok/s	 5221337 sents	 129681 sec	
wiki_fin-eng: 10500	 acc: --	 ppl:  7.67	 xent: 2.04	  23.08 TFLOP/s	 6710/6857 tok/s	 5484794 sents	 136446 sec	
wiki_fin-eng: 11000	 acc: --	 ppl:  7.65	 xent: 2.04	  23.09 TFLOP/s	 6717/6873 tok/s	 5750157 sents	 142936 sec	
wiki_fin-eng: 11500	 acc: --	 ppl:  7.57	 xent: 2.02	  23.91 TFLOP/s	 6950/7111 tok/s	 6015108 sents	 149369 sec	
wiki_fin-eng: 12000	 acc: --	 ppl:  7.56	 xent: 2.02	  23.74 TFLOP/s	 6897/7061 tok/s	 6276861 sents	 155862 sec	
wiki_fin-eng: 12500	 acc: --	 ppl:  7.54	 xent: 2.02	  23.89 TFLOP/s	 6935/7106 tok/s	 6536960 sents	 162306 sec	
wiki_fin-eng: 13000	 acc: --	 ppl:  7.52	 xent: 2.02	  22.35 TFLOP/s	 6497/6651 tok/s	 6800924 sents	 168985 sec	

wiki_eng-fin: 500	 acc: --	 ppl: 5267.58	 xent: 8.57	  24.85 TFLOP/s	 7378/7227 tok/s	 247952 sents	   6523 sec	
wiki_eng-fin: 1000	 acc: --	 ppl: 648.69	 xent: 6.47	  24.62 TFLOP/s	 7310/7174 tok/s	 502961 sents	  12941 sec	
wiki_eng-fin: 1500	 acc: --	 ppl: 209.43	 xent: 5.34	  25.31 TFLOP/s	 7501/7378 tok/s	 763236 sents	  19461 sec	
wiki_eng-fin: 2000	 acc: --	 ppl: 30.03	 xent: 3.40	  25.25 TFLOP/s	 7494/7349 tok/s	 1015417 sents	  25890 sec	
wiki_eng-fin: 2500	 acc: --	 ppl: 13.79	 xent: 2.62	  25.06 TFLOP/s	 7436/7298 tok/s	 1266473 sents	  32288 sec	
wiki_eng-fin: 3000	 acc: --	 ppl: 10.27	 xent: 2.33	  24.16 TFLOP/s	 7173/7028 tok/s	 1518046 sents	  39038 sec	
wiki_eng-fin: 3500	 acc: --	 ppl:  8.84	 xent: 2.18	  24.96 TFLOP/s	 7416/7260 tok/s	 1769856 sents	  45475 sec	
wiki_eng-fin: 4000	 acc: --	 ppl:  8.14	 xent: 2.10	  25.03 TFLOP/s	 7429/7286 tok/s	 2023017 sents	  51910 sec	
wiki_eng-fin: 4500	 acc: --	 ppl:  7.83	 xent: 2.06	  24.48 TFLOP/s	 7273/7140 tok/s	 2283539 sents	  58324 sec	
