mt_ces-eng: 5500	 acc: --	 ppl: 14.27	 xent: 2.66	   6.68 TFLOP/s	 19522/20086 tok/s	 1408024 sents	  11216 sec	
mt_ces-eng: 6000	 acc: --	 ppl: 13.86	 xent: 2.63	   8.84 TFLOP/s	 25826/26617 tok/s	 1536010 sents	  12175 sec	
mt_ces-eng: 6500	 acc: --	 ppl: 13.85	 xent: 2.63	   8.78 TFLOP/s	 25642/26428 tok/s	 1664024 sents	  13141 sec	
mt_ces-eng: 7000	 acc: --	 ppl: 13.85	 xent: 2.63	   8.83 TFLOP/s	 25826/26593 tok/s	 1792032 sents	  14101 sec	
mt_ces-eng: 7500	 acc: --	 ppl: 13.78	 xent: 2.62	   8.86 TFLOP/s	 25880/26670 tok/s	 1920016 sents	  15061 sec	
mt_ces-eng: 8000	 acc: --	 ppl: 13.78	 xent: 2.62	   6.62 TFLOP/s	 19340/19940 tok/s	 2048010 sents	  16344 sec	

mt_dan-eng: 500	 acc: --	 ppl: 633.92	 xent: 6.45	   8.55 TFLOP/s	 24009/26622 tok/s	 128024 sents	    958 sec	
mt_dan-eng: 1000	 acc: --	 ppl: 195.26	 xent: 5.27	   8.48 TFLOP/s	 23646/26569 tok/s	 256000 sents	   1924 sec	
mt_dan-eng: 1500	 acc: --	 ppl: 196.33	 xent: 5.28	   8.42 TFLOP/s	 23489/26360 tok/s	 384016 sents	   2888 sec	
mt_dan-eng: 2000	 acc: --	 ppl: 188.34	 xent: 5.24	   8.46 TFLOP/s	 23652/26423 tok/s	 512020 sents	   3858 sec	
mt_dan-eng: 2500	 acc: --	 ppl: 125.56	 xent: 4.83	   8.60 TFLOP/s	 24187/26749 tok/s	 640024 sents	   4815 sec	
mt_dan-eng: 3000	 acc: --	 ppl: 56.84	 xent: 4.04	   6.41 TFLOP/s	 17877/20075 tok/s	 768010 sents	   6088 sec	
mt_dan-eng: 3500	 acc: --	 ppl: 26.63	 xent: 3.28	   8.47 TFLOP/s	 23658/26501 tok/s	 896016 sents	   7053 sec	
mt_dan-eng: 4000	 acc: --	 ppl: 19.03	 xent: 2.95	   8.52 TFLOP/s	 23892/26525 tok/s	 1024010 sents	   8019 sec	
mt_dan-eng: 4500	 acc: --	 ppl: 19.55	 xent: 2.97	   8.54 TFLOP/s	 23811/26736 tok/s	 1152016 sents	   8975 sec	
mt_dan-eng: 5000	 acc: --	 ppl: 17.02	 xent: 2.83	   8.46 TFLOP/s	 23636/26473 tok/s	 1280010 sents	   9940 sec	
mt_dan-eng: 5500	 acc: --	 ppl: 15.94	 xent: 2.77	   6.40 TFLOP/s	 17887/20025 tok/s	 1408016 sents	  11216 sec	
mt_dan-eng: 6000	 acc: --	 ppl: 15.06	 xent: 2.71	   8.54 TFLOP/s	 24005/26605 tok/s	 1536020 sents	  12175 sec	
mt_dan-eng: 6500	 acc: --	 ppl: 15.00	 xent: 2.71	   8.43 TFLOP/s	 23461/26450 tok/s	 1664024 sents	  13141 sec	
mt_dan-eng: 7000	 acc: --	 ppl: 14.71	 xent: 2.69	   8.50 TFLOP/s	 23704/26611 tok/s	 1792010 sents	  14101 sec	
mt_dan-eng: 7500	 acc: --	 ppl: 14.41	 xent: 2.67	   8.54 TFLOP/s	 23959/26635 tok/s	 1920016 sents	  15061 sec	
mt_dan-eng: 8000	 acc: --	 ppl: 14.10	 xent: 2.65	   6.38 TFLOP/s	 17863/19920 tok/s	 2048030 sents	  16344 sec	

mt_deu-eng: 500	 acc: --	 ppl: 604.48	 xent: 6.40	   8.94 TFLOP/s	 26404/26649 tok/s	 128016 sents	    958 sec	
mt_deu-eng: 1000	 acc: --	 ppl: 213.52	 xent: 5.36	   8.91 TFLOP/s	 26379/26531 tok/s	 256000 sents	   1924 sec	
mt_deu-eng: 1500	 acc: --	 ppl: 195.95	 xent: 5.28	   8.85 TFLOP/s	 26172/26370 tok/s	 384016 sents	   2888 sec	
mt_deu-eng: 2000	 acc: --	 ppl: 186.76	 xent: 5.23	   8.89 TFLOP/s	 26307/26465 tok/s	 512010 sents	   3858 sec	
mt_deu-eng: 2500	 acc: --	 ppl: 175.55	 xent: 5.17	   8.97 TFLOP/s	 26542/26711 tok/s	 640016 sents	   4815 sec	
mt_deu-eng: 3000	 acc: --	 ppl: 31.48	 xent: 3.45	   6.73 TFLOP/s	 19927/20052 tok/s	 768030 sents	   6088 sec	
mt_deu-eng: 3500	 acc: --	 ppl: 20.77	 xent: 3.03	   8.90 TFLOP/s	 26333/26521 tok/s	 896016 sents	   7053 sec	
mt_deu-eng: 4000	 acc: --	 ppl: 16.89	 xent: 2.83	   8.90 TFLOP/s	 26314/26493 tok/s	 1024020 sents	   8019 sec	
mt_deu-eng: 4500	 acc: --	 ppl: 15.55	 xent: 2.74	   8.99 TFLOP/s	 26611/26766 tok/s	 1152024 sents	   8975 sec	
mt_deu-eng: 5000	 acc: --	 ppl: 15.74	 xent: 2.76	   8.88 TFLOP/s	 26268/26438 tok/s	 1280032 sents	   9940 sec	
mt_deu-eng: 5500	 acc: --	 ppl: 15.22	 xent: 2.72	   6.74 TFLOP/s	 19950/20063 tok/s	 1408016 sents	  11216 sec	
mt_deu-eng: 6000	 acc: --	 ppl: 14.18	 xent: 2.65	   8.93 TFLOP/s	 26424/26591 tok/s	 1536032 sents	  12175 sec	
mt_deu-eng: 6500	 acc: --	 ppl: 14.08	 xent: 2.64	   8.89 TFLOP/s	 26305/26470 tok/s	 1664016 sents	  13141 sec	
mt_deu-eng: 7000	 acc: --	 ppl: 13.84	 xent: 2.63	   8.93 TFLOP/s	 26401/26599 tok/s	 1792030 sents	  14101 sec	
mt_deu-eng: 7500	 acc: --	 ppl: 13.73	 xent: 2.62	   8.97 TFLOP/s	 26507/26704 tok/s	 1920016 sents	  15061 sec	
mt_deu-eng: 8000	 acc: --	 ppl: 13.74	 xent: 2.62	   6.70 TFLOP/s	 19803/19961 tok/s	 2048000 sents	  16344 sec	

mt_ell-eng: 500	 acc: --	 ppl: 629.34	 xent: 6.44	   9.34 TFLOP/s	 28913/26652 tok/s	 128016 sents	    958 sec	
