mt_bul-eng: 7000	 acc: --	 ppl:  7.25	 xent: 1.98	  14.36 TFLOP/s	 11336/10757 tok/s	 1494472 sents	  27707 sec	
mt_bul-eng: 7500	 acc: --	 ppl:  6.90	 xent: 1.93	  14.76 TFLOP/s	 11646/11055 tok/s	 1601505 sents	  29610 sec	
mt_bul-eng: 8000	 acc: --	 ppl:  7.44	 xent: 2.01	  11.84 TFLOP/s	 9342/8866 tok/s	 1706434 sents	  31939 sec	
mt_bul-eng: 8500	 acc: --	 ppl:  6.67	 xent: 1.90	  14.65 TFLOP/s	 11574/10966 tok/s	 1814018 sents	  33878 sec	
mt_bul-eng: 9000	 acc: --	 ppl:  7.18	 xent: 1.97	  14.89 TFLOP/s	 11753/11153 tok/s	 1923403 sents	  35810 sec	
mt_bul-eng: 9500	 acc: --	 ppl:  6.65	 xent: 1.89	  14.31 TFLOP/s	 11283/10726 tok/s	 2029348 sents	  37758 sec	
mt_bul-eng: 10000	 acc: --	 ppl:  7.12	 xent: 1.96	  14.22 TFLOP/s	 11227/10651 tok/s	 2132416 sents	  39663 sec	
mt_bul-eng: 10500	 acc: --	 ppl:  6.67	 xent: 1.90	  12.53 TFLOP/s	 9889/9397 tok/s	 2239397 sents	  41897 sec	

mt_bul-fra: 500	 acc: --	 ppl: 603.85	 xent: 6.40	  14.95 TFLOP/s	 11847/11167 tok/s	 107852 sents	   1892 sec	
mt_bul-fra: 1000	 acc: --	 ppl: 280.23	 xent: 5.64	  14.20 TFLOP/s	 11255/10607 tok/s	 212037 sents	   3812 sec	
mt_bul-fra: 1500	 acc: --	 ppl: 74.70	 xent: 4.31	  14.87 TFLOP/s	 11828/11071 tok/s	 322490 sents	   5745 sec	
mt_bul-fra: 2000	 acc: --	 ppl: 35.45	 xent: 3.57	  14.11 TFLOP/s	 11190/10525 tok/s	 424752 sents	   7643 sec	
mt_bul-fra: 2500	 acc: --	 ppl: 27.51	 xent: 3.31	  14.45 TFLOP/s	 11418/10807 tok/s	 528023 sents	   9531 sec	
mt_bul-fra: 3000	 acc: --	 ppl: 21.79	 xent: 3.08	  12.37 TFLOP/s	 9806/9233 tok/s	 633481 sents	  11761 sec	
mt_bul-fra: 3500	 acc: --	 ppl: 15.76	 xent: 2.76	  14.47 TFLOP/s	 11449/10817 tok/s	 743787 sents	  13756 sec	
mt_bul-fra: 4000	 acc: --	 ppl: 13.08	 xent: 2.57	  14.56 TFLOP/s	 11543/10864 tok/s	 850972 sents	  15689 sec	
mt_bul-fra: 4500	 acc: --	 ppl: 11.17	 xent: 2.41	  13.82 TFLOP/s	 10930/10333 tok/s	 951876 sents	  17603 sec	
mt_bul-fra: 5000	 acc: --	 ppl:  9.53	 xent: 2.25	  13.42 TFLOP/s	 10652/10003 tok/s	 1057364 sents	  19660 sec	
mt_bul-fra: 5500	 acc: --	 ppl: 10.13	 xent: 2.32	  12.48 TFLOP/s	 9899/9317 tok/s	 1165008 sents	  21920 sec	
mt_bul-fra: 6000	 acc: --	 ppl:  8.31	 xent: 2.12	  14.03 TFLOP/s	 11131/10467 tok/s	 1268016 sents	  23836 sec	
mt_bul-fra: 6500	 acc: --	 ppl:  8.69	 xent: 2.16	  14.30 TFLOP/s	 11411/10618 tok/s	 1374869 sents	  25788 sec	
mt_bul-fra: 7000	 acc: --	 ppl:  8.70	 xent: 2.16	  14.47 TFLOP/s	 11477/10799 tok/s	 1480924 sents	  27707 sec	
mt_bul-fra: 7500	 acc: --	 ppl:  7.88	 xent: 2.06	  14.64 TFLOP/s	 11599/10944 tok/s	 1587632 sents	  29610 sec	
mt_bul-fra: 8000	 acc: --	 ppl:  8.20	 xent: 2.10	  11.81 TFLOP/s	 9354/8828 tok/s	 1692791 sents	  31939 sec	
mt_bul-fra: 8500	 acc: --	 ppl:  7.25	 xent: 1.98	  14.54 TFLOP/s	 11535/10848 tok/s	 1800533 sents	  33878 sec	
mt_bul-fra: 9000	 acc: --	 ppl:  7.67	 xent: 2.04	  14.58 TFLOP/s	 11595/10854 tok/s	 1908228 sents	  35810 sec	
mt_bul-fra: 9500	 acc: --	 ppl:  6.92	 xent: 1.94	  14.35 TFLOP/s	 11376/10712 tok/s	 2014716 sents	  37758 sec	
mt_bul-fra: 10000	 acc: --	 ppl:  6.83	 xent: 1.92	  14.22 TFLOP/s	 11297/10597 tok/s	 2118600 sents	  39663 sec	
mt_bul-fra: 10500	 acc: --	 ppl:  6.98	 xent: 1.94	  12.42 TFLOP/s	 9882/9241 tok/s	 2225008 sents	  41897 sec	

mt_bul-spa: 500	 acc: --	 ppl: 552.87	 xent: 6.32	  15.46 TFLOP/s	 11958/11762 tok/s	 108788 sents	   1892 sec	
mt_bul-spa: 1000	 acc: --	 ppl: 271.90	 xent: 5.61	  14.78 TFLOP/s	 11427/11248 tok/s	 214205 sents	   3812 sec	
mt_bul-spa: 1500	 acc: --	 ppl: 55.56	 xent: 4.02	  15.08 TFLOP/s	 11662/11481 tok/s	 323502 sents	   5745 sec	
mt_bul-spa: 2000	 acc: --	 ppl: 28.44	 xent: 3.35	  14.53 TFLOP/s	 11234/11052 tok/s	 426121 sents	   7643 sec	
mt_bul-spa: 2500	 acc: --	 ppl: 22.47	 xent: 3.11	  15.01 TFLOP/s	 11601/11421 tok/s	 531148 sents	   9531 sec	
mt_bul-spa: 3000	 acc: --	 ppl: 14.93	 xent: 2.70	  12.75 TFLOP/s	 9870/9697 tok/s	 636979 sents	  11761 sec	
mt_bul-spa: 3500	 acc: --	 ppl: 11.94	 xent: 2.48	  14.68 TFLOP/s	 11335/11180 tok/s	 746153 sents	  13756 sec	
mt_bul-spa: 4000	 acc: --	 ppl:  8.88	 xent: 2.18	  14.84 TFLOP/s	 11471/11300 tok/s	 852572 sents	  15689 sec	
mt_bul-spa: 4500	 acc: --	 ppl:  7.80	 xent: 2.05	  14.29 TFLOP/s	 11052/10870 tok/s	 954245 sents	  17603 sec	
mt_bul-spa: 5000	 acc: --	 ppl:  6.23	 xent: 1.83	  13.46 TFLOP/s	 10414/10237 tok/s	 1057444 sents	  19660 sec	
mt_bul-spa: 5500	 acc: --	 ppl:  7.23	 xent: 1.98	  13.26 TFLOP/s	 10252/10087 tok/s	 1169094 sents	  21920 sec	
mt_bul-spa: 6000	 acc: --	 ppl:  7.45	 xent: 2.01	  14.68 TFLOP/s	 11349/11173 tok/s	 1274152 sents	  23836 sec	
mt_bul-spa: 6500	 acc: --	 ppl:  6.98	 xent: 1.94	  14.62 TFLOP/s	 11303/11127 tok/s	 1380337 sents	  25788 sec	
mt_bul-spa: 7000	 acc: --	 ppl:  7.21	 xent: 1.98	  14.54 TFLOP/s	 11246/11062 tok/s	 1484112 sents	  27707 sec	
mt_bul-spa: 7500	 acc: --	 ppl:  7.21	 xent: 1.98	  15.11 TFLOP/s	 11672/11503 tok/s	 1591065 sents	  29610 sec	
mt_bul-spa: 8000	 acc: --	 ppl:  6.87	 xent: 1.93	  11.98 TFLOP/s	 9276/9113 tok/s	 1695200 sents	  31939 sec	
mt_bul-spa: 8500	 acc: --	 ppl:  5.96	 xent: 1.79	  14.62 TFLOP/s	 11302/11127 tok/s	 1800731 sents	  33878 sec	
