task_bos-deu: 33000	 acc: --	 ppl: 10.94	 xent: 2.39	  14.54 TFLOP/s	 14959/15087 tok/s	 8765681 sents	 100379 sec	
task_bos-deu: 33500	 acc: --	 ppl: 10.88	 xent: 2.39	  17.62 TFLOP/s	 18068/18321 tok/s	 8896749 sents	 101830 sec	
task_bos-deu: 34000	 acc: --	 ppl: 10.98	 xent: 2.40	  17.61 TFLOP/s	 18062/18311 tok/s	 9027294 sents	 103276 sec	
task_bos-deu: 34500	 acc: --	 ppl: 11.12	 xent: 2.41	  17.76 TFLOP/s	 18224/18457 tok/s	 9158748 sents	 104722 sec	
task_bos-deu: 35000	 acc: --	 ppl: 11.10	 xent: 2.41	  17.65 TFLOP/s	 18082/18382 tok/s	 9289774 sents	 106170 sec	
task_bos-deu: 35500	 acc: --	 ppl: 10.97	 xent: 2.40	  14.82 TFLOP/s	 15189/15419 tok/s	 9423402 sents	 107931 sec	
task_bos-deu: 36000	 acc: --	 ppl: 10.86	 xent: 2.38	  18.05 TFLOP/s	 18552/18741 tok/s	 9556354 sents	 109369 sec	
task_bos-deu: 36500	 acc: --	 ppl: 10.89	 xent: 2.39	  18.01 TFLOP/s	 18529/18671 tok/s	 9688827 sents	 110810 sec	
task_bos-deu: 37000	 acc: --	 ppl: 11.10	 xent: 2.41	  18.15 TFLOP/s	 18586/18894 tok/s	 9821756 sents	 112246 sec	
task_bos-deu: 37500	 acc: --	 ppl: 10.90	 xent: 2.39	  17.97 TFLOP/s	 18470/18653 tok/s	 9953261 sents	 113684 sec	
task_bos-deu: 38000	 acc: --	 ppl: 10.67	 xent: 2.37	  14.75 TFLOP/s	 15168/15312 tok/s	 10086385 sents	 115446 sec	
task_bos-deu: 38500	 acc: --	 ppl: 10.53	 xent: 2.35	  18.09 TFLOP/s	 18620/18755 tok/s	 10219418 sents	 116889 sec	
task_bos-deu: 39000	 acc: --	 ppl: 10.55	 xent: 2.36	  18.13 TFLOP/s	 18603/18834 tok/s	 10352573 sents	 118331 sec	
task_bos-deu: 39500	 acc: --	 ppl: 10.63	 xent: 2.36	  18.14 TFLOP/s	 18651/18834 tok/s	 10486551 sents	 119773 sec	
task_bos-deu: 40000	 acc: --	 ppl: 10.89	 xent: 2.39	  18.02 TFLOP/s	 18462/18763 tok/s	 10619979 sents	 121215 sec	
task_bos-deu: 40500	 acc: --	 ppl: 10.69	 xent: 2.37	  14.79 TFLOP/s	 15175/15379 tok/s	 10753939 sents	 122985 sec	
task_bos-deu: 41000	 acc: --	 ppl: 10.53	 xent: 2.35	  18.18 TFLOP/s	 18696/18874 tok/s	 10888687 sents	 124431 sec	
task_bos-deu: 41500	 acc: --	 ppl: 10.75	 xent: 2.38	  17.99 TFLOP/s	 18457/18712 tok/s	 11022566 sents	 125882 sec	
task_bos-deu: 42000	 acc: --	 ppl: 10.65	 xent: 2.37	  18.01 TFLOP/s	 18512/18685 tok/s	 11155697 sents	 127330 sec	
task_bos-deu: 42500	 acc: --	 ppl: 10.36	 xent: 2.34	  18.05 TFLOP/s	 18518/18761 tok/s	 11289394 sents	 128777 sec	
task_bos-deu: 43000	 acc: --	 ppl: 10.62	 xent: 2.36	  14.44 TFLOP/s	 14787/15029 tok/s	 11420754 sents	 130553 sec	
task_bos-deu: 43500	 acc: --	 ppl: 10.48	 xent: 2.35	  17.82 TFLOP/s	 18337/18477 tok/s	 11553372 sents	 132011 sec	

task_bos-eng: 500	 acc: --	 ppl: 24005.04	 xent: 10.09	  17.02 TFLOP/s	 17670/17538 tok/s	 136789 sents	   1554 sec	
task_bos-eng: 1000	 acc: --	 ppl: 6627.58	 xent: 8.80	  16.37 TFLOP/s	 17052/16815 tok/s	 265482 sents	   3076 sec	
task_bos-eng: 1500	 acc: --	 ppl: 2593.26	 xent: 7.86	  17.05 TFLOP/s	 17761/17518 tok/s	 398206 sents	   4576 sec	
task_bos-eng: 2000	 acc: --	 ppl: 1587.07	 xent: 7.37	  16.95 TFLOP/s	 17633/17422 tok/s	 528165 sents	   6064 sec	
task_bos-eng: 2500	 acc: --	 ppl: 1251.88	 xent: 7.13	  18.20 TFLOP/s	 18909/18738 tok/s	 666645 sents	   7527 sec	
task_bos-eng: 3000	 acc: --	 ppl: 1037.21	 xent: 6.94	  14.52 TFLOP/s	 15079/14961 tok/s	 800673 sents	   9296 sec	
task_bos-eng: 3500	 acc: --	 ppl: 915.51	 xent: 6.82	  18.00 TFLOP/s	 18783/18447 tok/s	 934076 sents	  10731 sec	
task_bos-eng: 4000	 acc: --	 ppl: 800.93	 xent: 6.69	  17.07 TFLOP/s	 17743/17565 tok/s	 1061575 sents	  12169 sec	
task_bos-eng: 4500	 acc: --	 ppl: 694.87	 xent: 6.54	  17.65 TFLOP/s	 18353/18153 tok/s	 1193423 sents	  13615 sec	
task_bos-eng: 5000	 acc: --	 ppl: 608.00	 xent: 6.41	  17.02 TFLOP/s	 17718/17495 tok/s	 1322432 sents	  15084 sec	
task_bos-eng: 5500	 acc: --	 ppl: 557.87	 xent: 6.32	  14.36 TFLOP/s	 14906/14793 tok/s	 1454592 sents	  16856 sec	
task_bos-eng: 6000	 acc: --	 ppl: 488.02	 xent: 6.19	  18.03 TFLOP/s	 18758/18546 tok/s	 1589875 sents	  18306 sec	
task_bos-eng: 6500	 acc: --	 ppl: 433.15	 xent: 6.07	  16.62 TFLOP/s	 17301/17080 tok/s	 1726743 sents	  19895 sec	
task_bos-eng: 7000	 acc: --	 ppl: 405.08	 xent: 6.00	  18.54 TFLOP/s	 19328/19035 tok/s	 1864926 sents	  21335 sec	
task_bos-eng: 7500	 acc: --	 ppl: 368.79	 xent: 5.91	  18.10 TFLOP/s	 18921/18524 tok/s	 1999446 sents	  22779 sec	
task_bos-eng: 8000	 acc: --	 ppl: 283.70	 xent: 5.65	  14.62 TFLOP/s	 15205/15043 tok/s	 2133063 sents	  24542 sec	
task_bos-eng: 8500	 acc: --	 ppl: 182.71	 xent: 5.21	  17.36 TFLOP/s	 18005/17900 tok/s	 2264730 sents	  26003 sec	
task_bos-eng: 9000	 acc: --	 ppl: 114.57	 xent: 4.74	  17.37 TFLOP/s	 18099/17838 tok/s	 2395307 sents	  27454 sec	
task_bos-eng: 9500	 acc: --	 ppl: 72.38	 xent: 4.28	  17.73 TFLOP/s	 18388/18285 tok/s	 2527902 sents	  28896 sec	
task_bos-eng: 10000	 acc: --	 ppl: 55.15	 xent: 4.01	  17.66 TFLOP/s	 18378/18161 tok/s	 2659250 sents	  30332 sec	
task_bos-eng: 10500	 acc: --	 ppl: 43.35	 xent: 3.77	  14.99 TFLOP/s	 15636/15373 tok/s	 2796220 sents	  32097 sec	
task_bos-eng: 11000	 acc: --	 ppl: 34.54	 xent: 3.54	  18.15 TFLOP/s	 18928/18620 tok/s	 2931595 sents	  33541 sec	
task_bos-eng: 11500	 acc: --	 ppl: 27.71	 xent: 3.32	  17.66 TFLOP/s	 18351/18176 tok/s	 3064058 sents	  34987 sec	
task_bos-eng: 12000	 acc: --	 ppl: 26.58	 xent: 3.28	  17.37 TFLOP/s	 18032/17902 tok/s	 3196020 sents	  36446 sec	
task_bos-eng: 12500	 acc: --	 ppl: 24.06	 xent: 3.18	  17.85 TFLOP/s	 18581/18339 tok/s	 3328699 sents	  37883 sec	
task_bos-eng: 13000	 acc: --	 ppl: 22.75	 xent: 3.12	  14.51 TFLOP/s	 15108/14903 tok/s	 3461870 sents	  39659 sec	
task_bos-eng: 13500	 acc: --	 ppl: 21.00	 xent: 3.04	  17.59 TFLOP/s	 18286/18095 tok/s	 3594279 sents	  41110 sec	
task_bos-eng: 14000	 acc: --	 ppl: 20.26	 xent: 3.01	  17.81 TFLOP/s	 18540/18307 tok/s	 3727581 sents	  42553 sec	
task_bos-eng: 14500	 acc: --	 ppl: 19.51	 xent: 2.97	  17.43 TFLOP/s	 18203/17871 tok/s	 3859803 sents	  44015 sec	
task_bos-eng: 15000	 acc: --	 ppl: 17.53	 xent: 2.86	  17.46 TFLOP/s	 18154/17965 tok/s	 3993906 sents	  45498 sec	
task_bos-eng: 15500	 acc: --	 ppl: 17.66	 xent: 2.87	  14.34 TFLOP/s	 14977/14694 tok/s	 4125723 sents	  47275 sec	
task_bos-eng: 16000	 acc: --	 ppl: 16.09	 xent: 2.78	  18.19 TFLOP/s	 18937/18701 tok/s	 4262489 sents	  48725 sec	
task_bos-eng: 16500	 acc: --	 ppl: 16.50	 xent: 2.80	  18.06 TFLOP/s	 18849/18516 tok/s	 4398728 sents	  50182 sec	
task_bos-eng: 17000	 acc: --	 ppl: 15.35	 xent: 2.73	  17.60 TFLOP/s	 18315/18099 tok/s	 4531998 sents	  51646 sec	
task_bos-eng: 17500	 acc: --	 ppl: 15.26	 xent: 2.73	  17.69 TFLOP/s	 18356/18235 tok/s	 4665460 sents	  53099 sec	
task_bos-eng: 18000	 acc: --	 ppl: 14.65	 xent: 2.68	  14.44 TFLOP/s	 15051/14811 tok/s	 4798353 sents	  54882 sec	
task_bos-eng: 18500	 acc: --	 ppl: 14.40	 xent: 2.67	  17.56 TFLOP/s	 18245/18072 tok/s	 4931570 sents	  56346 sec	
