sentmt_bos-eng: 21000	 acc: --	 ppl: 19.01	 xent: 2.94	   5.09 TFLOP/s	 11186/11144 tok/s	 10752060 sents	  22520 sec	
sentmt_bos-eng: 21500	 acc: --	 ppl: 19.17	 xent: 2.95	   5.02 TFLOP/s	 11047/10999 tok/s	 11008072 sents	  23013 sec	
sentmt_bos-eng: 22000	 acc: --	 ppl: 18.91	 xent: 2.94	   5.10 TFLOP/s	 11221/11186 tok/s	 11264084 sents	  23507 sec	
sentmt_bos-eng: 22500	 acc: --	 ppl: 19.09	 xent: 2.95	   5.07 TFLOP/s	 11143/11100 tok/s	 11520072 sents	  24000 sec	
sentmt_bos-eng: 23000	 acc: --	 ppl: 18.88	 xent: 2.94	   3.49 TFLOP/s	 7673/7626 tok/s	 11776084 sents	  24723 sec	
sentmt_bos-eng: 23500	 acc: --	 ppl: 18.68	 xent: 2.93	   5.15 TFLOP/s	 11329/11260 tok/s	 12032104 sents	  25216 sec	
sentmt_bos-eng: 24000	 acc: --	 ppl: 19.01	 xent: 2.95	   5.09 TFLOP/s	 11206/11147 tok/s	 12288092 sents	  25707 sec	
sentmt_bos-eng: 24500	 acc: --	 ppl: 19.02	 xent: 2.95	   5.10 TFLOP/s	 11209/11148 tok/s	 12544052 sents	  26201 sec	
sentmt_bos-eng: 25000	 acc: --	 ppl: 18.71	 xent: 2.93	   5.12 TFLOP/s	 11273/11202 tok/s	 12800060 sents	  26695 sec	
sentmt_bos-eng: 25500	 acc: --	 ppl: 18.70	 xent: 2.93	   3.51 TFLOP/s	 7719/7687 tok/s	 13056084 sents	  27413 sec	
sentmt_bos-eng: 26000	 acc: --	 ppl: 18.85	 xent: 2.94	   5.11 TFLOP/s	 11235/11181 tok/s	 13312092 sents	  27906 sec	
sentmt_bos-eng: 26500	 acc: --	 ppl: 18.74	 xent: 2.93	   5.11 TFLOP/s	 11235/11176 tok/s	 13568080 sents	  28403 sec	
sentmt_bos-eng: 27000	 acc: --	 ppl: 18.70	 xent: 2.93	   5.13 TFLOP/s	 11292/11233 tok/s	 13824072 sents	  28898 sec	
sentmt_bos-eng: 27500	 acc: --	 ppl: 18.52	 xent: 2.92	   5.10 TFLOP/s	 11225/11152 tok/s	 14080092 sents	  29392 sec	
sentmt_bos-eng: 28000	 acc: --	 ppl: 18.70	 xent: 2.93	   3.59 TFLOP/s	 7888/7836 tok/s	 14336104 sents	  30097 sec	
sentmt_bos-eng: 28500	 acc: --	 ppl: 18.77	 xent: 2.93	   5.12 TFLOP/s	 11264/11213 tok/s	 14592080 sents	  30589 sec	
