task_bos-eng: 26000	 acc: --	 ppl: 13.72	 xent: 2.62	  17.84 TFLOP/s	 17103/19643 tok/s	 7036957 sents	  75238 sec	
task_bos-eng: 26500	 acc: --	 ppl: 13.60	 xent: 2.61	  17.79 TFLOP/s	 17056/19582 tok/s	 7171752 sents	  76611 sec	
task_bos-eng: 27000	 acc: --	 ppl: 13.55	 xent: 2.61	  17.62 TFLOP/s	 16892/19391 tok/s	 7305239 sents	  77990 sec	
task_bos-eng: 27500	 acc: --	 ppl: 13.58	 xent: 2.61	  17.87 TFLOP/s	 17104/19690 tok/s	 7441050 sents	  79366 sec	
task_bos-eng: 28000	 acc: --	 ppl: 13.40	 xent: 2.60	  14.54 TFLOP/s	 13943/16001 tok/s	 7576721 sents	  81064 sec	
task_bos-eng: 28500	 acc: --	 ppl: 13.40	 xent: 2.60	  17.82 TFLOP/s	 17087/19608 tok/s	 7712064 sents	  82442 sec	
task_bos-eng: 29000	 acc: --	 ppl: 13.31	 xent: 2.59	  17.37 TFLOP/s	 16664/19112 tok/s	 7844785 sents	  83827 sec	
task_bos-eng: 29500	 acc: --	 ppl: 13.29	 xent: 2.59	  18.09 TFLOP/s	 17342/19912 tok/s	 7982913 sents	  85214 sec	
task_bos-eng: 30000	 acc: --	 ppl: 13.26	 xent: 2.59	  17.52 TFLOP/s	 16794/19284 tok/s	 8116727 sents	  86601 sec	
task_bos-eng: 30500	 acc: --	 ppl: 13.30	 xent: 2.59	  14.63 TFLOP/s	 14013/16111 tok/s	 8253212 sents	  88293 sec	
task_bos-eng: 31000	 acc: --	 ppl: 13.24	 xent: 2.58	  17.86 TFLOP/s	 17109/19659 tok/s	 8388883 sents	  89675 sec	
task_bos-eng: 31500	 acc: --	 ppl: 13.19	 xent: 2.58	  17.84 TFLOP/s	 17101/19641 tok/s	 8524192 sents	  91052 sec	
task_bos-eng: 32000	 acc: --	 ppl: 13.16	 xent: 2.58	  17.81 TFLOP/s	 17065/19607 tok/s	 8659232 sents	  92426 sec	
task_bos-eng: 32500	 acc: --	 ppl: 13.15	 xent: 2.58	  17.06 TFLOP/s	 16345/18794 tok/s	 8795507 sents	  93875 sec	
task_bos-eng: 33000	 acc: --	 ppl: 13.11	 xent: 2.57	  14.41 TFLOP/s	 13809/15871 tok/s	 8930172 sents	  95568 sec	
task_bos-eng: 33500	 acc: --	 ppl: 13.09	 xent: 2.57	  17.93 TFLOP/s	 17180/19755 tok/s	 9066383 sents	  96944 sec	
task_bos-eng: 34000	 acc: --	 ppl: 13.01	 xent: 2.57	  17.89 TFLOP/s	 17150/19693 tok/s	 9201889 sents	  98316 sec	
task_bos-eng: 34500	 acc: --	 ppl: 12.99	 xent: 2.56	  18.05 TFLOP/s	 17310/19870 tok/s	 9338946 sents	  99689 sec	
task_bos-eng: 35000	 acc: --	 ppl: 12.90	 xent: 2.56	  17.94 TFLOP/s	 17216/19739 tok/s	 9474754 sents	 101062 sec	
task_bos-eng: 35500	 acc: --	 ppl: 12.90	 xent: 2.56	  14.36 TFLOP/s	 13768/15810 tok/s	 9608798 sents	 102756 sec	
task_bos-eng: 36000	 acc: --	 ppl: 12.96	 xent: 2.56	  17.69 TFLOP/s	 16952/19477 tok/s	 9743326 sents	 104134 sec	
task_bos-eng: 36500	 acc: --	 ppl: 12.89	 xent: 2.56	  17.85 TFLOP/s	 17109/19657 tok/s	 9878220 sents	 105509 sec	
task_bos-eng: 37000	 acc: --	 ppl: 12.87	 xent: 2.55	  17.88 TFLOP/s	 17145/19681 tok/s	 10014063 sents	 106890 sec	
task_bos-eng: 37500	 acc: --	 ppl: 12.85	 xent: 2.55	  17.79 TFLOP/s	 17056/19586 tok/s	 10148918 sents	 108268 sec	
task_bos-eng: 38000	 acc: --	 ppl: 12.82	 xent: 2.55	  14.56 TFLOP/s	 13966/16022 tok/s	 10284190 sents	 109954 sec	
task_bos-eng: 38500	 acc: --	 ppl: 12.79	 xent: 2.55	  17.76 TFLOP/s	 17037/19544 tok/s	 10419059 sents	 111334 sec	
task_bos-eng: 39000	 acc: --	 ppl: 12.86	 xent: 2.55	  17.74 TFLOP/s	 16995/19532 tok/s	 10553981 sents	 112715 sec	
task_bos-eng: 39500	 acc: --	 ppl: 12.81	 xent: 2.55	  17.90 TFLOP/s	 17158/19707 tok/s	 10690130 sents	 114096 sec	
task_bos-eng: 40000	 acc: --	 ppl: 12.76	 xent: 2.55	  17.61 TFLOP/s	 16882/19380 tok/s	 10823750 sents	 115474 sec	
task_bos-eng: 40500	 acc: --	 ppl: 12.74	 xent: 2.54	  14.76 TFLOP/s	 14148/16246 tok/s	 10962261 sents	 117175 sec	
task_bos-eng: 41000	 acc: --	 ppl: 12.72	 xent: 2.54	  17.80 TFLOP/s	 17069/19588 tok/s	 11096965 sents	 118548 sec	
task_bos-eng: 41500	 acc: --	 ppl: 12.75	 xent: 2.55	  17.68 TFLOP/s	 16946/19462 tok/s	 11230870 sents	 119923 sec	
task_bos-eng: 42000	 acc: --	 ppl: 12.76	 xent: 2.55	  17.75 TFLOP/s	 17011/19553 tok/s	 11366343 sents	 121307 sec	
task_bos-eng: 42500	 acc: --	 ppl: 12.70	 xent: 2.54	  17.57 TFLOP/s	 16839/19327 tok/s	 11498773 sents	 122685 sec	
task_bos-eng: 43000	 acc: --	 ppl: 12.64	 xent: 2.54	  14.39 TFLOP/s	 13800/15828 tok/s	 11632455 sents	 124376 sec	
task_bos-eng: 43500	 acc: --	 ppl: 12.67	 xent: 2.54	  17.75 TFLOP/s	 17012/19538 tok/s	 11766656 sents	 125748 sec	
