denoise_eng-eng: 18500	 acc: --	 ppl:  6.34	 xent: 1.85	  16.12 TFLOP/s	 44095/51227 tok/s	 4736016 sents	  17818 sec	
denoise_eng-eng: 19000	 acc: --	 ppl:  6.30	 xent: 1.84	  18.23 TFLOP/s	 49859/57918 tok/s	 4864000 sents	  18260 sec	
denoise_eng-eng: 19500	 acc: --	 ppl:  6.21	 xent: 1.83	  16.10 TFLOP/s	 44039/51164 tok/s	 4992016 sents	  18760 sec	
denoise_eng-eng: 20000	 acc: --	 ppl:  6.31	 xent: 1.84	  18.20 TFLOP/s	 49791/57847 tok/s	 5120000 sents	  19202 sec	
denoise_eng-eng: 20500	 acc: --	 ppl:  6.25	 xent: 1.83	  16.09 TFLOP/s	 44027/51148 tok/s	 5248016 sents	  19700 sec	
denoise_eng-eng: 21000	 acc: --	 ppl:  6.35	 xent: 1.85	  18.23 TFLOP/s	 49890/57944 tok/s	 5376000 sents	  20141 sec	
denoise_eng-eng: 21500	 acc: --	 ppl:  6.29	 xent: 1.84	  15.86 TFLOP/s	 43411/50423 tok/s	 5504016 sents	  20647 sec	
denoise_eng-eng: 22000	 acc: --	 ppl:  6.31	 xent: 1.84	  18.14 TFLOP/s	 49610/57630 tok/s	 5632000 sents	  21091 sec	
denoise_eng-eng: 22500	 acc: --	 ppl:  6.22	 xent: 1.83	  16.11 TFLOP/s	 44092/51215 tok/s	 5760016 sents	  21590 sec	
denoise_eng-eng: 23000	 acc: --	 ppl:  6.29	 xent: 1.84	  18.24 TFLOP/s	 49874/57946 tok/s	 5888000 sents	  22033 sec	
denoise_eng-eng: 23500	 acc: --	 ppl:  6.24	 xent: 1.83	  15.83 TFLOP/s	 43312/50311 tok/s	 6016016 sents	  22539 sec	
denoise_eng-eng: 24000	 acc: --	 ppl:  6.26	 xent: 1.83	  18.25 TFLOP/s	 49889/57961 tok/s	 6144000 sents	  22983 sec	
denoise_eng-eng: 24500	 acc: --	 ppl:  6.23	 xent: 1.83	  15.60 TFLOP/s	 42699/49593 tok/s	 6272016 sents	  23497 sec	
denoise_eng-eng: 25000	 acc: --	 ppl:  6.32	 xent: 1.84	  18.21 TFLOP/s	 49810/57859 tok/s	 6400000 sents	  23940 sec	

denoise_swe-swe: 500	 acc: --	 ppl: 723.00	 xent: 6.58	  17.50 TFLOP/s	 47979/55710 tok/s	 128016 sents	    446 sec	
denoise_swe-swe: 1000	 acc: --	 ppl: 444.15	 xent: 6.10	  17.63 TFLOP/s	 48303/56099 tok/s	 256000 sents	    891 sec	
denoise_swe-swe: 1500	 acc: --	 ppl: 222.45	 xent: 5.40	  10.29 TFLOP/s	 28211/32762 tok/s	 384016 sents	   1649 sec	
denoise_swe-swe: 2000	 acc: --	 ppl: 15.34	 xent: 2.73	  17.69 TFLOP/s	 48466/56280 tok/s	 512000 sents	   2092 sec	
denoise_swe-swe: 2500	 acc: --	 ppl: 13.86	 xent: 2.63	  15.00 TFLOP/s	 41119/47750 tok/s	 640016 sents	   2612 sec	
denoise_swe-swe: 3000	 acc: --	 ppl:  9.90	 xent: 2.29	  17.72 TFLOP/s	 48560/56387 tok/s	 768000 sents	   3054 sec	
denoise_swe-swe: 3500	 acc: --	 ppl:  8.80	 xent: 2.17	  14.92 TFLOP/s	 40897/47498 tok/s	 896016 sents	   3577 sec	
denoise_swe-swe: 4000	 acc: --	 ppl:  7.53	 xent: 2.02	  17.71 TFLOP/s	 48532/56360 tok/s	 1024000 sents	   4019 sec	
denoise_swe-swe: 4500	 acc: --	 ppl:  6.91	 xent: 1.93	  14.85 TFLOP/s	 40725/47289 tok/s	 1152016 sents	   4544 sec	
denoise_swe-swe: 5000	 acc: --	 ppl:  6.78	 xent: 1.91	  17.65 TFLOP/s	 48404/56210 tok/s	 1280000 sents	   4985 sec	
denoise_swe-swe: 5500	 acc: --	 ppl:  6.82	 xent: 1.92	  14.73 TFLOP/s	 40368/46876 tok/s	 1408016 sents	   5515 sec	
denoise_swe-swe: 6000	 acc: --	 ppl:  6.67	 xent: 1.90	  17.68 TFLOP/s	 48450/56262 tok/s	 1536000 sents	   5959 sec	
denoise_swe-swe: 6500	 acc: --	 ppl:  6.53	 xent: 1.88	  15.60 TFLOP/s	 42761/49655 tok/s	 1664016 sents	   6460 sec	
denoise_swe-swe: 7000	 acc: --	 ppl:  6.64	 xent: 1.89	  17.66 TFLOP/s	 48388/56199 tok/s	 1792000 sents	   6904 sec	
denoise_swe-swe: 7500	 acc: --	 ppl:  6.57	 xent: 1.88	  15.33 TFLOP/s	 42030/48808 tok/s	 1920016 sents	   7411 sec	
