mt_swe-eng: 1500	 acc: --	 ppl: 192.65	 xent: 5.26	  11.19 TFLOP/s	 32754/33657 tok/s	 384016 sents	   1649 sec	
mt_swe-eng: 2000	 acc: --	 ppl: 28.01	 xent: 3.33	  19.23 TFLOP/s	 56255/57821 tok/s	 512000 sents	   2092 sec	
mt_swe-eng: 2500	 acc: --	 ppl: 17.08	 xent: 2.84	  16.30 TFLOP/s	 47729/49032 tok/s	 640016 sents	   2612 sec	
mt_swe-eng: 3000	 acc: --	 ppl: 13.73	 xent: 2.62	  19.27 TFLOP/s	 56369/57943 tok/s	 768000 sents	   3054 sec	
mt_swe-eng: 3500	 acc: --	 ppl: 13.88	 xent: 2.63	  16.22 TFLOP/s	 47479/48790 tok/s	 896016 sents	   3577 sec	
mt_swe-eng: 4000	 acc: --	 ppl: 13.74	 xent: 2.62	  19.26 TFLOP/s	 56348/57912 tok/s	 1024000 sents	   4019 sec	
mt_swe-eng: 4500	 acc: --	 ppl: 12.69	 xent: 2.54	  16.15 TFLOP/s	 47272/48573 tok/s	 1152016 sents	   4544 sec	
mt_swe-eng: 5000	 acc: --	 ppl: 11.95	 xent: 2.48	  19.20 TFLOP/s	 56174/57758 tok/s	 1280000 sents	   4985 sec	
mt_swe-eng: 5500	 acc: --	 ppl:  9.87	 xent: 2.29	  16.02 TFLOP/s	 46870/48169 tok/s	 1408016 sents	   5515 sec	
mt_swe-eng: 6000	 acc: --	 ppl:  8.80	 xent: 2.17	  19.22 TFLOP/s	 56235/57775 tok/s	 1536000 sents	   5959 sec	
mt_swe-eng: 6500	 acc: --	 ppl:  7.86	 xent: 2.06	  16.97 TFLOP/s	 49640/51028 tok/s	 1664016 sents	   6460 sec	
mt_swe-eng: 7000	 acc: --	 ppl:  7.14	 xent: 1.97	  19.20 TFLOP/s	 56165/57736 tok/s	 1792000 sents	   6904 sec	
mt_swe-eng: 7500	 acc: --	 ppl:  6.52	 xent: 1.87	  16.67 TFLOP/s	 48791/50133 tok/s	 1920016 sents	   7411 sec	
mt_swe-eng: 8000	 acc: --	 ppl:  6.48	 xent: 1.87	  19.29 TFLOP/s	 56422/57984 tok/s	 2048000 sents	   7854 sec	
mt_swe-eng: 8500	 acc: --	 ppl:  6.40	 xent: 1.86	  17.01 TFLOP/s	 49771/51160 tok/s	 2176016 sents	   8351 sec	
mt_swe-eng: 9000	 acc: --	 ppl:  6.33	 xent: 1.84	  19.19 TFLOP/s	 56165/57719 tok/s	 2304000 sents	   8794 sec	
mt_swe-eng: 9500	 acc: --	 ppl:  6.24	 xent: 1.83	  16.91 TFLOP/s	 49494/50851 tok/s	 2432016 sents	   9295 sec	
mt_swe-eng: 10000	 acc: --	 ppl:  6.30	 xent: 1.84	  19.18 TFLOP/s	 56123/57671 tok/s	 2560000 sents	   9740 sec	
mt_swe-eng: 10500	 acc: --	 ppl:  6.21	 xent: 1.83	  16.69 TFLOP/s	 48827/50222 tok/s	 2688016 sents	  10249 sec	
mt_swe-eng: 11000	 acc: --	 ppl:  6.10	 xent: 1.81	  19.30 TFLOP/s	 56466/58031 tok/s	 2816000 sents	  10691 sec	
mt_swe-eng: 11500	 acc: --	 ppl:  6.15	 xent: 1.82	  17.00 TFLOP/s	 49724/51115 tok/s	 2944016 sents	  11191 sec	
mt_swe-eng: 12000	 acc: --	 ppl:  6.10	 xent: 1.81	  19.23 TFLOP/s	 56249/57811 tok/s	 3072000 sents	  11635 sec	
mt_swe-eng: 12500	 acc: --	 ppl:  6.02	 xent: 1.80	  17.00 TFLOP/s	 49742/51129 tok/s	 3200016 sents	  12134 sec	
mt_swe-eng: 13000	 acc: --	 ppl:  5.87	 xent: 1.77	  19.25 TFLOP/s	 56327/57873 tok/s	 3328000 sents	  12577 sec	
mt_swe-eng: 13500	 acc: --	 ppl:  6.04	 xent: 1.80	  17.01 TFLOP/s	 49785/51184 tok/s	 3456016 sents	  13075 sec	
mt_swe-eng: 14000	 acc: --	 ppl:  5.58	 xent: 1.72	  19.27 TFLOP/s	 56383/57941 tok/s	 3584000 sents	  13517 sec	
mt_swe-eng: 14500	 acc: --	 ppl:  5.40	 xent: 1.69	  16.46 TFLOP/s	 48168/49515 tok/s	 3712016 sents	  14033 sec	
mt_swe-eng: 15000	 acc: --	 ppl:  5.14	 xent: 1.64	  19.29 TFLOP/s	 56449/57998 tok/s	 3840000 sents	  14475 sec	
mt_swe-eng: 15500	 acc: --	 ppl:  4.98	 xent: 1.61	  16.76 TFLOP/s	 49052/50405 tok/s	 3968016 sents	  14980 sec	
mt_swe-eng: 16000	 acc: --	 ppl:  5.30	 xent: 1.67	  19.21 TFLOP/s	 56209/57766 tok/s	 4096000 sents	  15423 sec	
mt_swe-eng: 16500	 acc: --	 ppl:  5.23	 xent: 1.65	  16.70 TFLOP/s	 48879/50245 tok/s	 4224016 sents	  15931 sec	
mt_swe-eng: 17000	 acc: --	 ppl:  4.87	 xent: 1.58	  19.27 TFLOP/s	 56367/57921 tok/s	 4352000 sents	  16375 sec	
mt_swe-eng: 17500	 acc: --	 ppl:  5.01	 xent: 1.61	  16.96 TFLOP/s	 49622/50991 tok/s	 4480016 sents	  16876 sec	
mt_swe-eng: 18000	 acc: --	 ppl:  5.17	 xent: 1.64	  19.28 TFLOP/s	 56372/57955 tok/s	 4608000 sents	  17319 sec	
mt_swe-eng: 18500	 acc: --	 ppl:  4.91	 xent: 1.59	  17.03 TFLOP/s	 49839/51223 tok/s	 4736016 sents	  17818 sec	
mt_swe-eng: 19000	 acc: --	 ppl:  4.98	 xent: 1.61	  19.26 TFLOP/s	 56342/57917 tok/s	 4864000 sents	  18260 sec	
mt_swe-eng: 19500	 acc: --	 ppl:  4.85	 xent: 1.58	  17.02 TFLOP/s	 49806/51160 tok/s	 4992016 sents	  18760 sec	
mt_swe-eng: 20000	 acc: --	 ppl:  4.84	 xent: 1.58	  19.24 TFLOP/s	 56270/57852 tok/s	 5120000 sents	  19202 sec	
mt_swe-eng: 20500	 acc: --	 ppl:  4.78	 xent: 1.56	  17.00 TFLOP/s	 49784/51142 tok/s	 5248016 sents	  19700 sec	
mt_swe-eng: 21000	 acc: --	 ppl:  4.82	 xent: 1.57	  19.26 TFLOP/s	 56349/57939 tok/s	 5376000 sents	  20141 sec	
mt_swe-eng: 21500	 acc: --	 ppl:  4.82	 xent: 1.57	  16.76 TFLOP/s	 49064/50420 tok/s	 5504016 sents	  20647 sec	
mt_swe-eng: 22000	 acc: --	 ppl:  4.69	 xent: 1.55	  19.17 TFLOP/s	 56086/57626 tok/s	 5632000 sents	  21091 sec	
mt_swe-eng: 22500	 acc: --	 ppl:  4.81	 xent: 1.57	  17.03 TFLOP/s	 49828/51215 tok/s	 5760016 sents	  21590 sec	
mt_swe-eng: 23000	 acc: --	 ppl:  4.77	 xent: 1.56	  19.27 TFLOP/s	 56347/57943 tok/s	 5888000 sents	  22033 sec	
mt_swe-eng: 23500	 acc: --	 ppl:  4.73	 xent: 1.55	  16.73 TFLOP/s	 48962/50310 tok/s	 6016016 sents	  22539 sec	
mt_swe-eng: 24000	 acc: --	 ppl:  4.75	 xent: 1.56	  19.28 TFLOP/s	 56400/57962 tok/s	 6144000 sents	  22983 sec	
mt_swe-eng: 24500	 acc: --	 ppl:  4.72	 xent: 1.55	  16.48 TFLOP/s	 48245/49583 tok/s	 6272016 sents	  23497 sec	
mt_swe-eng: 25000	 acc: --	 ppl:  4.70	 xent: 1.55	  19.24 TFLOP/s	 56312/57869 tok/s	 6400000 sents	  23940 sec	

