instruct_gmw-deu: 8500	 acc: --	 ppl: 266.65	 xent: 5.59	  10.86 TFLOP/s	 16940/6963 tok/s	 2966713 sents	  15098 sec	
instruct_gmw-deu: 9000	 acc: --	 ppl: 249.98	 xent: 5.52	  10.67 TFLOP/s	 16652/6831 tok/s	 3139999 sents	  15934 sec	
instruct_gmw-deu: 9500	 acc: --	 ppl: 236.39	 xent: 5.47	  10.80 TFLOP/s	 16824/6934 tok/s	 3314204 sents	  16764 sec	
instruct_gmw-deu: 10000	 acc: --	 ppl: 222.03	 xent: 5.40	  10.99 TFLOP/s	 17129/7053 tok/s	 3490525 sents	  17590 sec	
instruct_gmw-deu: 10500	 acc: --	 ppl: 211.52	 xent: 5.35	   9.86 TFLOP/s	 15373/6327 tok/s	 3664496 sents	  18499 sec	
instruct_gmw-deu: 11000	 acc: --	 ppl: 200.83	 xent: 5.30	  10.74 TFLOP/s	 16735/6892 tok/s	 3838650 sents	  19332 sec	
instruct_gmw-deu: 11500	 acc: --	 ppl: 191.90	 xent: 5.26	  10.64 TFLOP/s	 16603/6820 tok/s	 4010608 sents	  20165 sec	
instruct_gmw-deu: 12000	 acc: --	 ppl: 184.99	 xent: 5.22	  10.73 TFLOP/s	 16728/6884 tok/s	 4185403 sents	  21003 sec	
instruct_gmw-deu: 12500	 acc: --	 ppl: 179.11	 xent: 5.19	  10.65 TFLOP/s	 16613/6827 tok/s	 4362260 sents	  21857 sec	
instruct_gmw-deu: 13000	 acc: --	 ppl: 173.78	 xent: 5.16	   8.66 TFLOP/s	 13514/5540 tok/s	 4534674 sents	  22885 sec	
instruct_gmw-deu: 13500	 acc: --	 ppl: 170.48	 xent: 5.14	  10.68 TFLOP/s	 16642/6868 tok/s	 4709260 sents	  23725 sec	
instruct_gmw-deu: 14000	 acc: --	 ppl: 166.33	 xent: 5.11	  10.73 TFLOP/s	 16746/6870 tok/s	 4884747 sents	  24568 sec	
instruct_gmw-deu: 14500	 acc: --	 ppl: 162.70	 xent: 5.09	  10.69 TFLOP/s	 16655/6865 tok/s	 5060870 sents	  25416 sec	
instruct_gmw-deu: 15000	 acc: --	 ppl: 160.33	 xent: 5.08	  10.65 TFLOP/s	 16568/6861 tok/s	 5232940 sents	  26245 sec	
instruct_gmw-deu: 15500	 acc: --	 ppl: 157.16	 xent: 5.06	   9.78 TFLOP/s	 15256/6270 tok/s	 5409514 sents	  27176 sec	
instruct_gmw-deu: 16000	 acc: --	 ppl: 154.98	 xent: 5.04	  10.85 TFLOP/s	 16903/6985 tok/s	 5584363 sents	  28003 sec	
instruct_gmw-deu: 16500	 acc: --	 ppl: 153.14	 xent: 5.03	  10.84 TFLOP/s	 16870/6991 tok/s	 5759795 sents	  28833 sec	
instruct_gmw-deu: 17000	 acc: --	 ppl: 150.37	 xent: 5.01	  10.78 TFLOP/s	 16825/6906 tok/s	 5934560 sents	  29669 sec	
instruct_gmw-deu: 17500	 acc: --	 ppl: 148.91	 xent: 5.00	  10.71 TFLOP/s	 16682/6890 tok/s	 6107201 sents	  30496 sec	
instruct_gmw-deu: 18000	 acc: --	 ppl: 147.35	 xent: 4.99	   9.91 TFLOP/s	 15437/6369 tok/s	 6280940 sents	  31396 sec	
