instruct_cat-eng: 57000	 acc: --	 ppl: 59.20	 xent: 4.08	   6.79 TFLOP/s	 2691/1489 tok/s	 3927675 sents	  49493 sec	
instruct_cat-eng: 57500	 acc: --	 ppl: 60.86	 xent: 4.11	   6.50 TFLOP/s	 2548/1450 tok/s	 4131714 sents	  52002 sec	
instruct_cat-eng: 58000	 acc: --	 ppl: 61.17	 xent: 4.11	   5.60 TFLOP/s	 2198/1251 tok/s	 4338107 sents	  54986 sec	
instruct_cat-eng: 58500	 acc: --	 ppl: 61.60	 xent: 4.12	   6.44 TFLOP/s	 2514/1450 tok/s	 4544668 sents	  57531 sec	
instruct_cat-eng: 59000	 acc: --	 ppl: 58.60	 xent: 4.07	   6.28 TFLOP/s	 2516/1359 tok/s	 4749385 sents	  60217 sec	
instruct_cat-eng: 59500	 acc: --	 ppl: 53.10	 xent: 3.97	   6.47 TFLOP/s	 2585/1404 tok/s	 4960067 sents	  62929 sec	
instruct_cat-eng: 60000	 acc: --	 ppl: 61.60	 xent: 4.12	   6.50 TFLOP/s	 2548/1452 tok/s	 5166976 sents	  65473 sec	
instruct_cat-eng: 60500	 acc: --	 ppl: 55.56	 xent: 4.02	   5.70 TFLOP/s	 2266/1247 tok/s	 5374481 sents	  68481 sec	
instruct_cat-eng: 61000	 acc: --	 ppl: 64.48	 xent: 4.17	   5.82 TFLOP/s	 2261/1318 tok/s	 5577401 sents	  71202 sec	
instruct_cat-eng: 61500	 acc: --	 ppl: 63.58	 xent: 4.15	   6.49 TFLOP/s	 2507/1483 tok/s	 5785939 sents	  73688 sec	
instruct_cat-eng: 62000	 acc: --	 ppl: 62.13	 xent: 4.13	   6.36 TFLOP/s	 2494/1419 tok/s	 5984131 sents	  76187 sec	
instruct_cat-eng: 62500	 acc: --	 ppl: 68.94	 xent: 4.23	   6.50 TFLOP/s	 2498/1495 tok/s	 6195917 sents	  78702 sec	
instruct_cat-eng: 63000	 acc: --	 ppl: 60.90	 xent: 4.11	   5.69 TFLOP/s	 2279/1230 tok/s	 6390158 sents	  81544 sec	
instruct_cat-eng: 63500	 acc: --	 ppl: 66.86	 xent: 4.20	   6.13 TFLOP/s	 2312/1446 tok/s	 6605218 sents	  84185 sec	
instruct_cat-eng: 64000	 acc: --	 ppl: 58.16	 xent: 4.06	   5.78 TFLOP/s	 2237/1315 tok/s	 6802951 sents	  86887 sec	
instruct_cat-eng: 64500	 acc: --	 ppl: 61.32	 xent: 4.12	   6.49 TFLOP/s	 2473/1510 tok/s	 7014592 sents	  89379 sec	
instruct_cat-eng: 65000	 acc: --	 ppl: 56.80	 xent: 4.04	   6.26 TFLOP/s	 2442/1407 tok/s	 7216318 sents	  91951 sec	
instruct_cat-eng: 65500	 acc: --	 ppl: 61.87	 xent: 4.12	   5.33 TFLOP/s	 2078/1200 tok/s	 7421295 sents	  95001 sec	
instruct_cat-eng: 66000	 acc: --	 ppl: 61.06	 xent: 4.11	   6.15 TFLOP/s	 2339/1433 tok/s	 7630333 sents	  97597 sec	
instruct_cat-eng: 66500	 acc: --	 ppl: 58.11	 xent: 4.06	   6.06 TFLOP/s	 2339/1386 tok/s	 7832829 sents	 100211 sec	
instruct_cat-eng: 67000	 acc: --	 ppl: 59.19	 xent: 4.08	   6.02 TFLOP/s	 2331/1368 tok/s	 8041516 sents	 102929 sec	
instruct_cat-eng: 67500	 acc: --	 ppl: 56.92	 xent: 4.04	   6.12 TFLOP/s	 2359/1399 tok/s	 8249944 sents	 105610 sec	

