denoise_bul-bul: 26000	 acc: --	 ppl:  9.45	 xent: 2.25	  14.81 TFLOP/s	 14357/16133 tok/s	 7105929 sents	  95645 sec	
denoise_bul-bul: 26500	 acc: --	 ppl:  9.45	 xent: 2.25	  14.42 TFLOP/s	 13979/15720 tok/s	 7240151 sents	  97394 sec	
denoise_bul-bul: 27000	 acc: --	 ppl:  9.42	 xent: 2.24	  14.44 TFLOP/s	 13996/15734 tok/s	 7374905 sents	  99142 sec	
denoise_bul-bul: 27500	 acc: --	 ppl:  9.40	 xent: 2.24	  14.73 TFLOP/s	 14276/16048 tok/s	 7511743 sents	 100887 sec	
denoise_bul-bul: 28000	 acc: --	 ppl:  9.39	 xent: 2.24	  12.31 TFLOP/s	 11930/13415 tok/s	 7647450 sents	 102954 sec	
denoise_bul-bul: 28500	 acc: --	 ppl:  9.38	 xent: 2.24	  14.51 TFLOP/s	 14064/15815 tok/s	 7782195 sents	 104697 sec	
denoise_bul-bul: 29000	 acc: --	 ppl:  9.35	 xent: 2.24	  14.66 TFLOP/s	 14213/15978 tok/s	 7919135 sents	 106447 sec	
denoise_bul-bul: 29500	 acc: --	 ppl:  9.33	 xent: 2.23	  14.60 TFLOP/s	 14150/15907 tok/s	 8056824 sents	 108218 sec	
denoise_bul-bul: 30000	 acc: --	 ppl:  9.33	 xent: 2.23	  14.50 TFLOP/s	 14055/15801 tok/s	 8193569 sents	 109985 sec	
denoise_bul-bul: 30500	 acc: --	 ppl:  9.33	 xent: 2.23	  12.32 TFLOP/s	 11940/13424 tok/s	 8329104 sents	 112056 sec	
denoise_bul-bul: 31000	 acc: --	 ppl:  9.32	 xent: 2.23	  14.41 TFLOP/s	 13966/15701 tok/s	 8464179 sents	 113813 sec	
denoise_bul-bul: 31500	 acc: --	 ppl:  9.30	 xent: 2.23	  14.41 TFLOP/s	 13967/15704 tok/s	 8597545 sents	 115552 sec	
denoise_bul-bul: 32000	 acc: --	 ppl:  9.28	 xent: 2.23	  14.59 TFLOP/s	 14143/15895 tok/s	 8734476 sents	 117312 sec	
denoise_bul-bul: 32500	 acc: --	 ppl:  9.27	 xent: 2.23	  14.47 TFLOP/s	 14035/15773 tok/s	 8870607 sents	 119073 sec	
denoise_bul-bul: 33000	 acc: --	 ppl:  9.27	 xent: 2.23	  12.37 TFLOP/s	 11992/13478 tok/s	 9007602 sents	 121145 sec	
denoise_bul-bul: 33500	 acc: --	 ppl:  9.25	 xent: 2.23	  14.90 TFLOP/s	 14440/16237 tok/s	 9146093 sents	 122892 sec	
denoise_bul-bul: 34000	 acc: --	 ppl:  9.24	 xent: 2.22	  14.59 TFLOP/s	 14145/15902 tok/s	 9283682 sents	 124652 sec	
denoise_bul-bul: 34500	 acc: --	 ppl:  9.24	 xent: 2.22	  14.86 TFLOP/s	 14403/16193 tok/s	 9422282 sents	 126398 sec	
denoise_bul-bul: 35000	 acc: --	 ppl:  9.23	 xent: 2.22	  14.60 TFLOP/s	 14147/15907 tok/s	 9557514 sents	 128139 sec	
denoise_bul-bul: 35500	 acc: --	 ppl:  9.22	 xent: 2.22	  12.31 TFLOP/s	 11932/13411 tok/s	 9693975 sents	 130217 sec	
denoise_bul-bul: 36000	 acc: --	 ppl:  9.22	 xent: 2.22	  14.66 TFLOP/s	 14206/15973 tok/s	 9830114 sents	 131961 sec	
denoise_bul-bul: 36500	 acc: --	 ppl:  9.20	 xent: 2.22	  13.73 TFLOP/s	 13307/14962 tok/s	 9967726 sents	 133844 sec	
denoise_bul-bul: 37000	 acc: --	 ppl:  9.19	 xent: 2.22	  14.69 TFLOP/s	 14236/16001 tok/s	 10104162 sents	 135594 sec	
denoise_bul-bul: 37500	 acc: --	 ppl:  9.19	 xent: 2.22	  13.65 TFLOP/s	 13239/14880 tok/s	 10240755 sents	 137468 sec	
denoise_bul-bul: 38000	 acc: --	 ppl:  9.20	 xent: 2.22	  12.44 TFLOP/s	 12064/13563 tok/s	 10377957 sents	 139537 sec	
denoise_bul-bul: 38500	 acc: --	 ppl:  9.19	 xent: 2.22	  14.62 TFLOP/s	 14170/15931 tok/s	 10513662 sents	 141283 sec	
denoise_bul-bul: 39000	 acc: --	 ppl:  9.18	 xent: 2.22	  14.91 TFLOP/s	 14456/16251 tok/s	 10652589 sents	 143031 sec	
denoise_bul-bul: 39500	 acc: --	 ppl:  9.18	 xent: 2.22	  14.57 TFLOP/s	 14122/15877 tok/s	 10787562 sents	 144769 sec	
denoise_bul-bul: 40000	 acc: --	 ppl:  9.17	 xent: 2.22	  14.73 TFLOP/s	 14279/16052 tok/s	 10925281 sents	 146519 sec	
