zero_deu-ukr: 1750	 acc: --	 ppl: 195.67	 xent: 5.28	  13.32 TFLOP/s	 36554/42054 tok/s	 854553 sents	   4562 sec	
zero_deu-ukr: 2000	 acc: --	 ppl: 196.21	 xent: 5.28	  13.01 TFLOP/s	 35741/41099 tok/s	 974330 sents	   5161 sec	
zero_deu-ukr: 2250	 acc: --	 ppl: 178.41	 xent: 5.18	   8.56 TFLOP/s	 23506/27041 tok/s	 1094196 sents	   6074 sec	
zero_deu-ukr: 2500	 acc: --	 ppl: 133.53	 xent: 4.89	  13.56 TFLOP/s	 37266/42804 tok/s	 1220151 sents	   6680 sec	
zero_deu-ukr: 2750	 acc: --	 ppl: 116.49	 xent: 4.76	  13.14 TFLOP/s	 36114/41498 tok/s	 1341294 sents	   7280 sec	
zero_deu-ukr: 3000	 acc: --	 ppl: 95.83	 xent: 4.56	  13.49 TFLOP/s	 37218/42470 tok/s	 1465030 sents	   7880 sec	
zero_deu-ukr: 3250	 acc: --	 ppl: 78.79	 xent: 4.37	   8.81 TFLOP/s	 24161/27837 tok/s	 1588873 sents	   8795 sec	
zero_deu-ukr: 3500	 acc: --	 ppl: 73.19	 xent: 4.29	  13.24 TFLOP/s	 36391/41810 tok/s	 1711798 sents	   9399 sec	
zero_deu-ukr: 3750	 acc: --	 ppl: 55.74	 xent: 4.02	  13.07 TFLOP/s	 35835/41312 tok/s	 1834600 sents	  10012 sec	
zero_deu-ukr: 4000	 acc: --	 ppl: 47.55	 xent: 3.86	  13.47 TFLOP/s	 37015/42520 tok/s	 1959127 sents	  10615 sec	
zero_deu-ukr: 4250	 acc: --	 ppl: 36.48	 xent: 3.60	   8.68 TFLOP/s	 23907/27375 tok/s	 2076683 sents	  11499 sec	
zero_deu-ukr: 4500	 acc: --	 ppl: 34.88	 xent: 3.55	  12.74 TFLOP/s	 35054/40190 tok/s	 2196715 sents	  12112 sec	
zero_deu-ukr: 4750	 acc: --	 ppl: 37.08	 xent: 3.61	  13.02 TFLOP/s	 35774/41096 tok/s	 2319040 sents	  12723 sec	
zero_deu-ukr: 5000	 acc: --	 ppl: 30.31	 xent: 3.41	  13.26 TFLOP/s	 36443/41917 tok/s	 2444500 sents	  13335 sec	
zero_deu-ukr: 5250	 acc: --	 ppl: 32.91	 xent: 3.49	   8.81 TFLOP/s	 24156/27882 tok/s	 2567409 sents	  14240 sec	
zero_deu-ukr: 5500	 acc: --	 ppl: 26.68	 xent: 3.28	  12.94 TFLOP/s	 35606/40833 tok/s	 2689262 sents	  14854 sec	
zero_deu-ukr: 5750	 acc: --	 ppl: 28.00	 xent: 3.33	  13.06 TFLOP/s	 35886/41237 tok/s	 2810473 sents	  15460 sec	
zero_deu-ukr: 6000	 acc: --	 ppl: 20.60	 xent: 3.03	  13.00 TFLOP/s	 35740/41006 tok/s	 2929558 sents	  16060 sec	
zero_deu-ukr: 6250	 acc: --	 ppl: 22.09	 xent: 3.10	   9.06 TFLOP/s	 24965/28543 tok/s	 3049286 sents	  16927 sec	
zero_deu-ukr: 6500	 acc: --	 ppl: 22.00	 xent: 3.09	  13.05 TFLOP/s	 35873/41181 tok/s	 3170220 sents	  17532 sec	
zero_deu-ukr: 6750	 acc: --	 ppl: 20.83	 xent: 3.04	  13.27 TFLOP/s	 36487/41854 tok/s	 3291779 sents	  18131 sec	
zero_deu-ukr: 7000	 acc: --	 ppl: 22.91	 xent: 3.13	  13.15 TFLOP/s	 36105/41508 tok/s	 3413773 sents	  18736 sec	
zero_deu-ukr: 7250	 acc: --	 ppl: 23.07	 xent: 3.14	   8.57 TFLOP/s	 23572/27057 tok/s	 3534067 sents	  19649 sec	
zero_deu-ukr: 7500	 acc: --	 ppl: 20.27	 xent: 3.01	  13.17 TFLOP/s	 36209/41600 tok/s	 3655334 sents	  20248 sec	
zero_deu-ukr: 7750	 acc: --	 ppl: 20.32	 xent: 3.01	  13.26 TFLOP/s	 36475/41820 tok/s	 3776316 sents	  20844 sec	
zero_deu-ukr: 8000	 acc: --	 ppl: 19.09	 xent: 2.95	  13.27 TFLOP/s	 36469/41883 tok/s	 3898239 sents	  21442 sec	
zero_deu-ukr: 8250	 acc: --	 ppl: 18.79	 xent: 2.93	   8.64 TFLOP/s	 23745/27258 tok/s	 4018750 sents	  22354 sec	
zero_deu-ukr: 8500	 acc: --	 ppl: 19.03	 xent: 2.95	  13.34 TFLOP/s	 36685/42104 tok/s	 4141383 sents	  22954 sec	
zero_deu-ukr: 8750	 acc: --	 ppl: 17.20	 xent: 2.84	  13.25 TFLOP/s	 36435/41837 tok/s	 4263419 sents	  23553 sec	
zero_deu-ukr: 9000	 acc: --	 ppl: 17.20	 xent: 2.84	  13.44 TFLOP/s	 36953/42425 tok/s	 4388289 sents	  24157 sec	
