sentmt_eng-bos: 17000	 acc: --	 ppl: 15.17	 xent: 2.72	  10.48 TFLOP/s	 3138/3155 tok/s	 8547405 sents	  60749 sec	
sentmt_eng-bos: 17500	 acc: --	 ppl: 15.30	 xent: 2.73	  10.54 TFLOP/s	 3156/3168 tok/s	 8800712 sents	  62468 sec	
sentmt_eng-bos: 18000	 acc: --	 ppl: 15.23	 xent: 2.72	   8.65 TFLOP/s	 2586/2604 tok/s	 9051682 sents	  64527 sec	
sentmt_eng-bos: 18500	 acc: --	 ppl: 15.06	 xent: 2.71	  10.53 TFLOP/s	 3151/3168 tok/s	 9303243 sents	  66250 sec	
sentmt_eng-bos: 19000	 acc: --	 ppl: 15.11	 xent: 2.72	  10.43 TFLOP/s	 3122/3140 tok/s	 9555163 sents	  67972 sec	
sentmt_eng-bos: 19500	 acc: --	 ppl: 15.40	 xent: 2.73	  10.49 TFLOP/s	 3140/3157 tok/s	 9808439 sents	  69694 sec	
sentmt_eng-bos: 20000	 acc: --	 ppl: 15.17	 xent: 2.72	  10.33 TFLOP/s	 3093/3106 tok/s	 10057109 sents	  71418 sec	
sentmt_eng-bos: 20500	 acc: --	 ppl: 14.89	 xent: 2.70	   8.87 TFLOP/s	 2655/2669 tok/s	 10311922 sents	  73498 sec	
sentmt_eng-bos: 21000	 acc: --	 ppl: 14.86	 xent: 2.70	  10.48 TFLOP/s	 3135/3154 tok/s	 10560758 sents	  75219 sec	
sentmt_eng-bos: 21500	 acc: --	 ppl: 14.95	 xent: 2.70	  10.46 TFLOP/s	 3134/3148 tok/s	 10813814 sents	  76939 sec	
sentmt_eng-bos: 22000	 acc: --	 ppl: 14.98	 xent: 2.71	  10.68 TFLOP/s	 3198/3214 tok/s	 11068974 sents	  78664 sec	
sentmt_eng-bos: 22500	 acc: --	 ppl: 15.02	 xent: 2.71	  10.47 TFLOP/s	 3132/3150 tok/s	 11322566 sents	  80504 sec	
sentmt_eng-bos: 23000	 acc: --	 ppl: 15.16	 xent: 2.72	   8.78 TFLOP/s	 2631/2640 tok/s	 11577222 sents	  82573 sec	
sentmt_eng-bos: 23500	 acc: --	 ppl: 14.91	 xent: 2.70	  10.34 TFLOP/s	 3098/3108 tok/s	 11826669 sents	  84296 sec	
sentmt_eng-bos: 24000	 acc: --	 ppl: 14.95	 xent: 2.71	  10.57 TFLOP/s	 3165/3182 tok/s	 12080950 sents	  86017 sec	
sentmt_eng-bos: 24500	 acc: --	 ppl: 14.77	 xent: 2.69	  10.51 TFLOP/s	 3146/3162 tok/s	 12331075 sents	  87740 sec	
sentmt_eng-bos: 25000	 acc: --	 ppl: 14.72	 xent: 2.69	  10.53 TFLOP/s	 3151/3168 tok/s	 12581392 sents	  89464 sec	
sentmt_eng-bos: 25500	 acc: --	 ppl: 14.96	 xent: 2.71	   8.49 TFLOP/s	 2542/2556 tok/s	 12828350 sents	  91535 sec	
sentmt_eng-bos: 26000	 acc: --	 ppl: 14.58	 xent: 2.68	  10.52 TFLOP/s	 3147/3166 tok/s	 13079614 sents	  93259 sec	
sentmt_eng-bos: 26500	 acc: --	 ppl: 14.60	 xent: 2.68	  10.60 TFLOP/s	 3174/3191 tok/s	 13331467 sents	  94981 sec	
sentmt_eng-bos: 27000	 acc: --	 ppl: 14.59	 xent: 2.68	  10.05 TFLOP/s	 3008/3023 tok/s	 13583223 sents	  96799 sec	
sentmt_eng-bos: 27500	 acc: --	 ppl: 14.81	 xent: 2.70	  10.41 TFLOP/s	 3117/3132 tok/s	 13834592 sents	  98523 sec	
sentmt_eng-bos: 28000	 acc: --	 ppl: 14.69	 xent: 2.69	   8.74 TFLOP/s	 2618/2630 tok/s	 14083305 sents	 100576 sec	

sentmt_bul-eng: 500	 acc: --	 ppl: 17.60	 xent: 2.87	   9.56 TFLOP/s	 2862/2879 tok/s	 251811 sents	   1774 sec	
sentmt_bul-eng: 1000	 acc: --	 ppl: 16.41	 xent: 2.80	   9.74 TFLOP/s	 2923/2927 tok/s	 499752 sents	   3507 sec	
sentmt_bul-eng: 1500	 acc: --	 ppl: 16.21	 xent: 2.79	   9.79 TFLOP/s	 2933/2945 tok/s	 750543 sents	   5244 sec	
sentmt_bul-eng: 2000	 acc: --	 ppl: 15.59	 xent: 2.75	   9.88 TFLOP/s	 2962/2972 tok/s	 1002001 sents	   6969 sec	
sentmt_bul-eng: 2500	 acc: --	 ppl: 15.40	 xent: 2.73	  10.10 TFLOP/s	 3025/3040 tok/s	 1256717 sents	   8699 sec	
sentmt_bul-eng: 3000	 acc: --	 ppl: 15.23	 xent: 2.72	   8.30 TFLOP/s	 2490/2495 tok/s	 1509669 sents	  10755 sec	
sentmt_bul-eng: 3500	 acc: --	 ppl: 15.18	 xent: 2.72	   9.88 TFLOP/s	 2962/2972 tok/s	 1759278 sents	  12482 sec	
sentmt_bul-eng: 4000	 acc: --	 ppl: 14.83	 xent: 2.70	   9.94 TFLOP/s	 2975/2993 tok/s	 2011734 sents	  14207 sec	
