mt_fin-bos: 3500	 acc: --	 ppl: 38.13	 xent: 3.64	   7.25 TFLOP/s	 16962/16374 tok/s	 896024 sents	   9775 sec	
mt_fin-bos: 4000	 acc: --	 ppl: 31.22	 xent: 3.44	   7.91 TFLOP/s	 18507/17863 tok/s	 1024010 sents	  11081 sec	
mt_fin-bos: 4500	 acc: --	 ppl: 27.82	 xent: 3.33	   7.84 TFLOP/s	 18440/17627 tok/s	 1152016 sents	  12391 sec	
mt_fin-bos: 5000	 acc: --	 ppl: 23.30	 xent: 3.15	   7.91 TFLOP/s	 18479/17890 tok/s	 1280030 sents	  13693 sec	
mt_fin-bos: 5500	 acc: --	 ppl: 21.41	 xent: 3.06	   6.31 TFLOP/s	 14735/14259 tok/s	 1408016 sents	  15328 sec	
mt_fin-bos: 6000	 acc: --	 ppl: 19.84	 xent: 2.99	   7.85 TFLOP/s	 18316/17752 tok/s	 1536010 sents	  16646 sec	
mt_fin-bos: 6500	 acc: --	 ppl: 19.78	 xent: 2.98	   7.83 TFLOP/s	 18450/17568 tok/s	 1664016 sents	  17953 sec	
mt_fin-bos: 7000	 acc: --	 ppl: 17.99	 xent: 2.89	   7.83 TFLOP/s	 18352/17677 tok/s	 1792020 sents	  19264 sec	
mt_fin-bos: 7500	 acc: --	 ppl: 16.77	 xent: 2.82	   7.86 TFLOP/s	 18331/17787 tok/s	 1920016 sents	  20580 sec	
mt_fin-bos: 8000	 acc: --	 ppl: 16.61	 xent: 2.81	   6.33 TFLOP/s	 14843/14247 tok/s	 2048010 sents	  22216 sec	
mt_fin-bos: 8500	 acc: --	 ppl: 15.98	 xent: 2.77	   7.87 TFLOP/s	 18452/17722 tok/s	 2176016 sents	  23524 sec	
mt_fin-bos: 9000	 acc: --	 ppl: 15.53	 xent: 2.74	   7.83 TFLOP/s	 18369/17641 tok/s	 2304030 sents	  24839 sec	
mt_fin-bos: 9500	 acc: --	 ppl: 14.97	 xent: 2.71	   7.86 TFLOP/s	 18412/17736 tok/s	 2432016 sents	  26150 sec	
mt_fin-bos: 10000	 acc: --	 ppl: 14.31	 xent: 2.66	   7.82 TFLOP/s	 18228/17705 tok/s	 2560030 sents	  27467 sec	
mt_fin-bos: 10500	 acc: --	 ppl: 14.32	 xent: 2.66	   6.34 TFLOP/s	 14860/14310 tok/s	 2688016 sents	  29091 sec	
mt_fin-bos: 11000	 acc: --	 ppl: 14.09	 xent: 2.65	   7.95 TFLOP/s	 18663/17914 tok/s	 2816000 sents	  30393 sec	
mt_fin-bos: 11500	 acc: --	 ppl: 13.83	 xent: 2.63	   7.91 TFLOP/s	 18564/17810 tok/s	 2944024 sents	  31689 sec	
mt_fin-bos: 12000	 acc: --	 ppl: 13.46	 xent: 2.60	   7.77 TFLOP/s	 18201/17518 tok/s	 3072030 sents	  33011 sec	
mt_fin-bos: 12500	 acc: --	 ppl: 12.88	 xent: 2.56	   7.88 TFLOP/s	 18320/17878 tok/s	 3200024 sents	  34323 sec	
mt_fin-bos: 13000	 acc: --	 ppl: 12.88	 xent: 2.56	   6.32 TFLOP/s	 14740/14296 tok/s	 3328030 sents	  35952 sec	
mt_fin-bos: 13500	 acc: --	 ppl: 12.62	 xent: 2.54	   7.88 TFLOP/s	 18328/17863 tok/s	 3456024 sents	  37268 sec	
mt_fin-bos: 14000	 acc: --	 ppl: 12.67	 xent: 2.54	   7.90 TFLOP/s	 18440/17871 tok/s	 3584000 sents	  38578 sec	
mt_fin-bos: 14500	 acc: --	 ppl: 12.63	 xent: 2.54	   7.91 TFLOP/s	 18531/17858 tok/s	 3712024 sents	  39880 sec	
mt_fin-bos: 15000	 acc: --	 ppl: 12.33	 xent: 2.51	   7.88 TFLOP/s	 18378/17841 tok/s	 3840032 sents	  41190 sec	
mt_fin-bos: 15500	 acc: --	 ppl: 12.45	 xent: 2.52	   6.34 TFLOP/s	 14842/14304 tok/s	 3968016 sents	  42819 sec	
mt_fin-bos: 16000	 acc: --	 ppl: 12.25	 xent: 2.51	   7.82 TFLOP/s	 18293/17651 tok/s	 4096032 sents	  44137 sec	
mt_fin-bos: 16500	 acc: --	 ppl: 12.25	 xent: 2.51	   7.86 TFLOP/s	 18418/17727 tok/s	 4224016 sents	  45452 sec	
mt_fin-bos: 17000	 acc: --	 ppl: 11.86	 xent: 2.47	   7.88 TFLOP/s	 18367/17865 tok/s	 4352030 sents	  46757 sec	
mt_fin-bos: 17500	 acc: --	 ppl: 11.75	 xent: 2.46	   7.91 TFLOP/s	 18427/17940 tok/s	 4480024 sents	  48063 sec	
mt_fin-bos: 18000	 acc: --	 ppl: 12.02	 xent: 2.49	   6.36 TFLOP/s	 14925/14323 tok/s	 4608020 sents	  49678 sec	
mt_fin-bos: 18500	 acc: --	 ppl: 11.74	 xent: 2.46	   7.79 TFLOP/s	 18200/17595 tok/s	 4736016 sents	  51002 sec	
mt_fin-bos: 19000	 acc: --	 ppl: 11.86	 xent: 2.47	   7.88 TFLOP/s	 18507/17757 tok/s	 4864030 sents	  52306 sec	
mt_fin-bos: 19500	 acc: --	 ppl: 11.78	 xent: 2.47	   7.95 TFLOP/s	 18636/17910 tok/s	 4992016 sents	  53603 sec	
