predict_ces-ces: 31000	 acc: --	 ppl: 108.54	 xent: 4.69	  20.51 TFLOP/s	 6423/5638 tok/s	 751921 sents	  28447 sec	
predict_ces-ces: 31500	 acc: --	 ppl: 107.00	 xent: 4.67	  19.55 TFLOP/s	 6132/5368 tok/s	 854771 sents	  32423 sec	
predict_ces-ces: 32000	 acc: --	 ppl: 105.34	 xent: 4.66	  20.36 TFLOP/s	 6374/5598 tok/s	 962303 sents	  36414 sec	
predict_ces-ces: 32500	 acc: --	 ppl: 104.03	 xent: 4.64	  20.17 TFLOP/s	 6318/5545 tok/s	 1068646 sents	  40400 sec	
predict_ces-ces: 33000	 acc: --	 ppl: 102.33	 xent: 4.63	  18.72 TFLOP/s	 5862/5149 tok/s	 1176549 sents	  44748 sec	
predict_ces-ces: 33500	 acc: --	 ppl: 101.52	 xent: 4.62	  20.34 TFLOP/s	 6370/5592 tok/s	 1281544 sents	  48656 sec	
predict_ces-ces: 34000	 acc: --	 ppl: 101.21	 xent: 4.62	  19.66 TFLOP/s	 6168/5399 tok/s	 1384388 sents	  52607 sec	
predict_ces-ces: 34500	 acc: --	 ppl: 99.98	 xent: 4.61	  20.31 TFLOP/s	 6370/5577 tok/s	 1492490 sents	  56635 sec	
predict_ces-ces: 35000	 acc: --	 ppl: 99.54	 xent: 4.60	  20.06 TFLOP/s	 6292/5509 tok/s	 1600189 sents	  60669 sec	
predict_ces-ces: 35500	 acc: --	 ppl: 98.69	 xent: 4.59	  18.63 TFLOP/s	 5833/5125 tok/s	 1706945 sents	  64998 sec	
predict_ces-ces: 36000	 acc: --	 ppl: 98.26	 xent: 4.59	  19.84 TFLOP/s	 6210/5458 tok/s	 1811396 sents	  68981 sec	
predict_ces-ces: 36500	 acc: --	 ppl: 97.43	 xent: 4.58	  20.45 TFLOP/s	 6396/5627 tok/s	 1919575 sents	  72998 sec	
predict_ces-ces: 37000	 acc: --	 ppl: 96.77	 xent: 4.57	  20.08 TFLOP/s	 6285/5524 tok/s	 2026077 sents	  77013 sec	
predict_ces-ces: 37500	 acc: --	 ppl: 96.48	 xent: 4.57	  20.00 TFLOP/s	 6262/5497 tok/s	 2132236 sents	  81035 sec	
predict_ces-ces: 38000	 acc: --	 ppl: 96.12	 xent: 4.57	  17.95 TFLOP/s	 5626/4933 tok/s	 2235557 sents	  85391 sec	
predict_ces-ces: 38500	 acc: --	 ppl: 95.21	 xent: 4.56	  20.05 TFLOP/s	 6281/5512 tok/s	 2340622 sents	  89351 sec	
predict_ces-ces: 39000	 acc: --	 ppl: 95.04	 xent: 4.55	  20.09 TFLOP/s	 6289/5524 tok/s	 2446685 sents	  93339 sec	
predict_ces-ces: 39500	 acc: --	 ppl: 93.15	 xent: 4.53	  20.06 TFLOP/s	 6282/5517 tok/s	 2552400 sents	  97330 sec	
predict_ces-ces: 40000	 acc: --	 ppl: 93.99	 xent: 4.54	  20.47 TFLOP/s	 6414/5626 tok/s	 2660182 sents	 101314 sec	
predict_ces-ces: 40500	 acc: --	 ppl: 93.09	 xent: 4.53	  19.33 TFLOP/s	 6059/5312 tok/s	 2771755 sents	 105664 sec	
predict_ces-ces: 41000	 acc: --	 ppl: 92.84	 xent: 4.53	  20.68 TFLOP/s	 6488/5678 tok/s	 2881622 sents	 109674 sec	
predict_ces-ces: 41500	 acc: --	 ppl: 93.31	 xent: 4.54	  19.87 TFLOP/s	 6231/5456 tok/s	 2986999 sents	 113682 sec	
