mt_bos-deu: 8500	 acc: --	 ppl:  7.96	 xent: 2.07	  47.60 TFLOP/s	 13777/14106 tok/s	 2593216 sents	  38061 sec	
mt_bos-deu: 9000	 acc: --	 ppl:  7.95	 xent: 2.07	  46.55 TFLOP/s	 13447/13818 tok/s	 2740475 sents	  40235 sec	
mt_bos-deu: 9500	 acc: --	 ppl:  7.76	 xent: 2.05	  46.38 TFLOP/s	 13459/13711 tok/s	 2889020 sents	  42445 sec	
mt_bos-deu: 10000	 acc: --	 ppl:  7.90	 xent: 2.07	  48.92 TFLOP/s	 14110/14534 tok/s	 3042475 sents	  44620 sec	
mt_bos-deu: 10500	 acc: --	 ppl:  7.81	 xent: 2.06	  40.06 TFLOP/s	 11565/11893 tok/s	 3186792 sents	  47107 sec	
mt_bos-deu: 11000	 acc: --	 ppl:  7.83	 xent: 2.06	  50.56 TFLOP/s	 14619/14995 tok/s	 3346370 sents	  49282 sec	
mt_bos-deu: 11500	 acc: --	 ppl:  7.75	 xent: 2.05	  50.22 TFLOP/s	 14552/14864 tok/s	 3504476 sents	  51465 sec	
mt_bos-deu: 12000	 acc: --	 ppl:  7.82	 xent: 2.06	  48.07 TFLOP/s	 13900/14251 tok/s	 3654973 sents	  53629 sec	
mt_bos-deu: 12500	 acc: --	 ppl:  7.68	 xent: 2.04	  47.83 TFLOP/s	 13828/14191 tok/s	 3806027 sents	  55796 sec	
mt_bos-deu: 13000	 acc: --	 ppl:  7.79	 xent: 2.05	  41.01 TFLOP/s	 11819/12193 tok/s	 3955067 sents	  58309 sec	
mt_bos-deu: 13500	 acc: --	 ppl:  7.63	 xent: 2.03	  48.76 TFLOP/s	 14090/14466 tok/s	 4110268 sents	  60501 sec	
mt_bos-deu: 14000	 acc: --	 ppl:  7.72	 xent: 2.04	  46.91 TFLOP/s	 13524/13941 tok/s	 4257380 sents	  62681 sec	
mt_bos-deu: 14500	 acc: --	 ppl:  7.61	 xent: 2.03	  48.60 TFLOP/s	 14072/14398 tok/s	 4411655 sents	  64866 sec	
mt_bos-deu: 15000	 acc: --	 ppl:  7.52	 xent: 2.02	  48.30 TFLOP/s	 13988/14305 tok/s	 4565226 sents	  67057 sec	
mt_bos-deu: 15500	 acc: --	 ppl:  7.51	 xent: 2.02	  41.90 TFLOP/s	 12107/12431 tok/s	 4717904 sents	  69577 sec	
mt_bos-deu: 16000	 acc: --	 ppl:  7.41	 xent: 2.00	  48.20 TFLOP/s	 13978/14257 tok/s	 4869957 sents	  71759 sec	
mt_bos-deu: 16500	 acc: --	 ppl:  7.43	 xent: 2.00	  47.36 TFLOP/s	 13695/14041 tok/s	 5019631 sents	  73941 sec	
mt_bos-deu: 17000	 acc: --	 ppl:  7.36	 xent: 2.00	  48.33 TFLOP/s	 13996/14315 tok/s	 5171983 sents	  76110 sec	
mt_bos-deu: 17500	 acc: --	 ppl:  7.31	 xent: 1.99	  49.36 TFLOP/s	 14271/14639 tok/s	 5326294 sents	  78268 sec	
mt_bos-deu: 18000	 acc: --	 ppl:  7.37	 xent: 2.00	  42.62 TFLOP/s	 12309/12649 tok/s	 5480816 sents	  80781 sec	
