denoise_eng-eng: 10750	 acc: --	 ppl: 10.89	 xent: 2.39	  15.36 TFLOP/s	 43075/47697 tok/s	 5226673 sents	  25299 sec	
denoise_eng-eng: 11000	 acc: --	 ppl: 10.99	 xent: 2.40	  15.67 TFLOP/s	 43915/48690 tok/s	 5349667 sents	  25818 sec	
denoise_eng-eng: 11250	 acc: --	 ppl: 10.99	 xent: 2.40	   9.93 TFLOP/s	 27882/30848 tok/s	 5473347 sents	  26640 sec	
denoise_eng-eng: 11500	 acc: --	 ppl: 10.54	 xent: 2.36	  15.36 TFLOP/s	 43205/47567 tok/s	 5593598 sents	  27162 sec	
denoise_eng-eng: 11750	 acc: --	 ppl: 10.34	 xent: 2.34	  16.16 TFLOP/s	 45495/50008 tok/s	 5719897 sents	  27682 sec	
denoise_eng-eng: 12000	 acc: --	 ppl: 11.06	 xent: 2.40	  15.41 TFLOP/s	 43286/47805 tok/s	 5840221 sents	  28200 sec	
denoise_eng-eng: 12250	 acc: --	 ppl: 10.76	 xent: 2.38	   9.89 TFLOP/s	 27720/30734 tok/s	 5964925 sents	  29033 sec	
denoise_eng-eng: 12500	 acc: --	 ppl: 10.68	 xent: 2.37	  15.88 TFLOP/s	 44704/49179 tok/s	 6088483 sents	  29551 sec	
denoise_eng-eng: 12750	 acc: --	 ppl: 10.62	 xent: 2.36	  15.53 TFLOP/s	 43656/48150 tok/s	 6210287 sents	  30072 sec	
denoise_eng-eng: 13000	 acc: --	 ppl: 10.63	 xent: 2.36	  15.74 TFLOP/s	 44247/48809 tok/s	 6334092 sents	  30594 sec	
denoise_eng-eng: 13250	 acc: --	 ppl: 10.10	 xent: 2.31	   9.76 TFLOP/s	 27380/30351 tok/s	 6457709 sents	  31427 sec	
denoise_eng-eng: 13500	 acc: --	 ppl: 10.93	 xent: 2.39	  15.66 TFLOP/s	 43914/48640 tok/s	 6580582 sents	  31946 sec	
denoise_eng-eng: 13750	 acc: --	 ppl: 10.23	 xent: 2.33	  15.91 TFLOP/s	 44745/49330 tok/s	 6705020 sents	  32464 sec	
denoise_eng-eng: 14000	 acc: --	 ppl: 10.74	 xent: 2.37	  15.83 TFLOP/s	 44550/49004 tok/s	 6827180 sents	  32978 sec	

denoise_fra-fra: 250	 acc: --	 ppl: 36770.45	 xent: 10.51	  15.94 TFLOP/s	 45944/48379 tok/s	 121149 sents	    515 sec	
denoise_fra-fra: 500	 acc: --	 ppl: 3215.18	 xent: 8.08	  15.80 TFLOP/s	 45373/48096 tok/s	 241472 sents	   1031 sec	
denoise_fra-fra: 750	 acc: --	 ppl: 983.17	 xent: 6.89	  15.79 TFLOP/s	 45737/47793 tok/s	 362790 sents	   1550 sec	
denoise_fra-fra: 1000	 acc: --	 ppl: 564.39	 xent: 6.34	  15.79 TFLOP/s	 45602/47845 tok/s	 481886 sents	   2062 sec	
