instruct_eng-fin: 51000	 acc: --	 ppl: 18.00	 xent: 2.89	  10.28 TFLOP/s	 3478/2750 tok/s	 1766014 sents	  15206 sec	
instruct_eng-fin: 51500	 acc: --	 ppl: 17.84	 xent: 2.88	  10.62 TFLOP/s	 3598/2840 tok/s	 2014772 sents	  17565 sec	
instruct_eng-fin: 52000	 acc: --	 ppl: 17.77	 xent: 2.88	  10.49 TFLOP/s	 3551/2808 tok/s	 2269012 sents	  20007 sec	
instruct_eng-fin: 52500	 acc: --	 ppl: 18.04	 xent: 2.89	  18.88 TFLOP/s	 10640/1335 tok/s	 2387051 sents	  22442 sec	
instruct_eng-fin: 53000	 acc: --	 ppl: 18.68	 xent: 2.93	  17.77 TFLOP/s	 10299/942 tok/s	 2483677 sents	  25297 sec	
instruct_eng-fin: 53500	 acc: --	 ppl: 18.91	 xent: 2.94	  20.48 TFLOP/s	 11871/1087 tok/s	 2580224 sents	  27771 sec	
instruct_eng-fin: 54000	 acc: --	 ppl: 19.03	 xent: 2.95	  20.55 TFLOP/s	 11914/1087 tok/s	 2677526 sents	  30254 sec	
instruct_eng-fin: 54500	 acc: --	 ppl: 19.19	 xent: 2.95	  20.69 TFLOP/s	 11992/1098 tok/s	 2774631 sents	  32716 sec	
instruct_eng-fin: 55000	 acc: --	 ppl: 19.17	 xent: 2.95	  20.03 TFLOP/s	 11609/1065 tok/s	 2871436 sents	  35252 sec	

instruct_fin-eng: 48000	 acc: --	 ppl: 16.18	 xent: 2.78	  13.20 TFLOP/s	 5196/2921 tok/s	 249522 sents	   2046 sec	
instruct_fin-eng: 48500	 acc: --	 ppl: 12.89	 xent: 2.56	  12.82 TFLOP/s	 5049/2833 tok/s	 500838 sents	   4166 sec	
instruct_fin-eng: 49000	 acc: --	 ppl: 12.13	 xent: 2.50	  13.63 TFLOP/s	 5364/3018 tok/s	 752328 sents	   6165 sec	
instruct_fin-eng: 49500	 acc: --	 ppl: 11.46	 xent: 2.44	  12.45 TFLOP/s	 4857/2791 tok/s	 1002701 sents	   8312 sec	
instruct_fin-eng: 50000	 acc: --	 ppl: 11.19	 xent: 2.41	  12.91 TFLOP/s	 4998/2929 tok/s	 1257309 sents	  10394 sec	
instruct_fin-eng: 50500	 acc: --	 ppl: 11.00	 xent: 2.40	  11.33 TFLOP/s	 4386/2571 tok/s	 1506186 sents	  12715 sec	
instruct_fin-eng: 51000	 acc: --	 ppl: 11.19	 xent: 2.41	  19.77 TFLOP/s	 11315/1248 tok/s	 1631416 sents	  15206 sec	
instruct_fin-eng: 51500	 acc: --	 ppl: 11.30	 xent: 2.42	  22.42 TFLOP/s	 13062/1156 tok/s	 1739879 sents	  17565 sec	
instruct_fin-eng: 52000	 acc: --	 ppl: 11.21	 xent: 2.42	  21.69 TFLOP/s	 12637/1122 tok/s	 1848573 sents	  20007 sec	
instruct_fin-eng: 52500	 acc: --	 ppl: 11.22	 xent: 2.42	  21.73 TFLOP/s	 12658/1124 tok/s	 1957208 sents	  22442 sec	
