mt_bos-eng: 38000	 acc: --	 ppl:  9.93	 xent: 2.30	  11.52 TFLOP/s	 11043/12683 tok/s	 8122834 sents	 108895 sec	
mt_bos-eng: 38500	 acc: --	 ppl:  9.97	 xent: 2.30	  14.50 TFLOP/s	 13892/15974 tok/s	 8230846 sents	 110246 sec	
mt_bos-eng: 39000	 acc: --	 ppl:  9.93	 xent: 2.30	  14.60 TFLOP/s	 13988/16068 tok/s	 8339367 sents	 111599 sec	
mt_bos-eng: 39500	 acc: --	 ppl:  9.97	 xent: 2.30	  14.24 TFLOP/s	 13639/15686 tok/s	 8445634 sents	 112951 sec	
mt_bos-eng: 40000	 acc: --	 ppl:  9.89	 xent: 2.29	  14.30 TFLOP/s	 13714/15745 tok/s	 8551800 sents	 114300 sec	
mt_bos-eng: 40500	 acc: --	 ppl:  9.88	 xent: 2.29	  11.87 TFLOP/s	 11383/13074 tok/s	 8660874 sents	 115964 sec	
mt_bos-eng: 41000	 acc: --	 ppl:  9.92	 xent: 2.29	  14.07 TFLOP/s	 13479/15506 tok/s	 8766434 sents	 117325 sec	
mt_bos-eng: 41500	 acc: --	 ppl:  9.92	 xent: 2.29	  13.94 TFLOP/s	 13357/15354 tok/s	 8870875 sents	 118681 sec	
mt_bos-eng: 42000	 acc: --	 ppl:  9.85	 xent: 2.29	  14.57 TFLOP/s	 13963/16052 tok/s	 8980304 sents	 120039 sec	
mt_bos-eng: 42500	 acc: --	 ppl:  9.85	 xent: 2.29	  14.32 TFLOP/s	 13721/15762 tok/s	 9087217 sents	 121397 sec	
mt_bos-eng: 43000	 acc: --	 ppl:  9.83	 xent: 2.29	  11.63 TFLOP/s	 11149/12801 tok/s	 9194709 sents	 123070 sec	
mt_bos-eng: 43500	 acc: --	 ppl:  9.86	 xent: 2.29	  14.33 TFLOP/s	 13738/15777 tok/s	 9302179 sents	 124426 sec	
mt_bos-eng: 44000	 acc: --	 ppl:  9.80	 xent: 2.28	  14.33 TFLOP/s	 13746/15770 tok/s	 9409082 sents	 125775 sec	
mt_bos-eng: 44500	 acc: --	 ppl:  9.75	 xent: 2.28	  14.39 TFLOP/s	 13794/15831 tok/s	 9515971 sents	 127127 sec	
mt_bos-eng: 45000	 acc: --	 ppl:  9.76	 xent: 2.28	  14.11 TFLOP/s	 13538/15534 tok/s	 9621296 sents	 128480 sec	
mt_bos-eng: 45500	 acc: --	 ppl:  9.82	 xent: 2.28	  11.41 TFLOP/s	 10933/12559 tok/s	 9726875 sents	 130156 sec	
mt_bos-eng: 46000	 acc: --	 ppl:  9.81	 xent: 2.28	  14.16 TFLOP/s	 13565/15590 tok/s	 9831938 sents	 131508 sec	
mt_bos-eng: 46500	 acc: --	 ppl:  9.78	 xent: 2.28	  14.49 TFLOP/s	 13889/15944 tok/s	 9939836 sents	 132862 sec	
mt_bos-eng: 47000	 acc: --	 ppl:  9.79	 xent: 2.28	  14.88 TFLOP/s	 14260/16379 tok/s	 10050261 sents	 134210 sec	
mt_bos-eng: 47500	 acc: --	 ppl:  9.77	 xent: 2.28	  14.00 TFLOP/s	 13415/15406 tok/s	 10154444 sents	 135564 sec	
mt_bos-eng: 48000	 acc: --	 ppl:  9.76	 xent: 2.28	  11.73 TFLOP/s	 11245/12906 tok/s	 10262252 sents	 137231 sec	
mt_bos-eng: 48500	 acc: --	 ppl:  9.74	 xent: 2.28	  13.98 TFLOP/s	 13415/15385 tok/s	 10367227 sents	 138594 sec	
mt_bos-eng: 49000	 acc: --	 ppl:  9.71	 xent: 2.27	  14.39 TFLOP/s	 13805/15832 tok/s	 10474183 sents	 139948 sec	
mt_bos-eng: 49500	 acc: --	 ppl:  9.79	 xent: 2.28	  14.45 TFLOP/s	 13845/15924 tok/s	 10582088 sents	 141300 sec	
