wiki_fin-eng: 49500	 acc: --	 ppl:  7.98	 xent: 2.08	  13.35 TFLOP/s	 30040/30851 tok/s	 25344080 sents	 172281 sec	

wiki_eng-fin: 500	 acc: --	 ppl: 10417.17	 xent: 9.25	  13.11 TFLOP/s	 30357/29553 tok/s	 256052 sents	   1783 sec	
wiki_eng-fin: 1000	 acc: --	 ppl: 1280.88	 xent: 7.16	  13.18 TFLOP/s	 30574/29712 tok/s	 512084 sents	   3515 sec	
wiki_eng-fin: 1500	 acc: --	 ppl: 500.67	 xent: 6.22	  13.17 TFLOP/s	 30553/29695 tok/s	 768064 sents	   5252 sec	
wiki_eng-fin: 2000	 acc: --	 ppl: 182.38	 xent: 5.21	  12.86 TFLOP/s	 29856/29022 tok/s	 1024032 sents	   6985 sec	
wiki_eng-fin: 2500	 acc: --	 ppl: 57.93	 xent: 4.06	  12.84 TFLOP/s	 29823/28974 tok/s	 1280068 sents	   8715 sec	
wiki_eng-fin: 3000	 acc: --	 ppl: 32.38	 xent: 3.48	  11.41 TFLOP/s	 26458/25778 tok/s	 1536072 sents	  10684 sec	
wiki_eng-fin: 3500	 acc: --	 ppl: 23.42	 xent: 3.15	  12.65 TFLOP/s	 29301/28587 tok/s	 1792080 sents	  12480 sec	
wiki_eng-fin: 4000	 acc: --	 ppl: 18.92	 xent: 2.94	  13.24 TFLOP/s	 30699/29833 tok/s	 2048072 sents	  14220 sec	
wiki_eng-fin: 4500	 acc: --	 ppl: 16.20	 xent: 2.79	  12.84 TFLOP/s	 29802/28982 tok/s	 2304072 sents	  15963 sec	
wiki_eng-fin: 5000	 acc: --	 ppl: 14.21	 xent: 2.65	  13.07 TFLOP/s	 30338/29500 tok/s	 2560052 sents	  17679 sec	
wiki_eng-fin: 5500	 acc: --	 ppl: 12.99	 xent: 2.56	  12.48 TFLOP/s	 28955/28227 tok/s	 2816064 sents	  19456 sec	
wiki_eng-fin: 6000	 acc: --	 ppl: 11.93	 xent: 2.48	  13.30 TFLOP/s	 30801/30047 tok/s	 3072052 sents	  21173 sec	
wiki_eng-fin: 6500	 acc: --	 ppl: 11.33	 xent: 2.43	  12.76 TFLOP/s	 29626/28806 tok/s	 3328084 sents	  22910 sec	
wiki_eng-fin: 7000	 acc: --	 ppl: 10.79	 xent: 2.38	  13.07 TFLOP/s	 30316/29521 tok/s	 3584052 sents	  24633 sec	
wiki_eng-fin: 7500	 acc: --	 ppl: 10.35	 xent: 2.34	  13.02 TFLOP/s	 30212/29389 tok/s	 3840060 sents	  26354 sec	
wiki_eng-fin: 8000	 acc: --	 ppl: 10.00	 xent: 2.30	  12.96 TFLOP/s	 29993/29242 tok/s	 4096052 sents	  28150 sec	
wiki_eng-fin: 8500	 acc: --	 ppl:  9.73	 xent: 2.28	  12.93 TFLOP/s	 30007/29188 tok/s	 4352060 sents	  29892 sec	
wiki_eng-fin: 9000	 acc: --	 ppl:  9.53	 xent: 2.25	  13.18 TFLOP/s	 30526/29728 tok/s	 4608080 sents	  31639 sec	
wiki_eng-fin: 9500	 acc: --	 ppl:  9.33	 xent: 2.23	  12.97 TFLOP/s	 30090/29264 tok/s	 4864072 sents	  33379 sec	
wiki_eng-fin: 10000	 acc: --	 ppl:  9.12	 xent: 2.21	  12.92 TFLOP/s	 29975/29172 tok/s	 5120064 sents	  35109 sec	
wiki_eng-fin: 10500	 acc: --	 ppl:  8.94	 xent: 2.19	  12.84 TFLOP/s	 29767/28927 tok/s	 5376072 sents	  36901 sec	
wiki_eng-fin: 11000	 acc: --	 ppl:  8.76	 xent: 2.17	  13.16 TFLOP/s	 30474/29671 tok/s	 5632040 sents	  38662 sec	
wiki_eng-fin: 11500	 acc: --	 ppl:  8.59	 xent: 2.15	  13.46 TFLOP/s	 31158/30340 tok/s	 5888080 sents	  40397 sec	
wiki_eng-fin: 12000	 acc: --	 ppl:  8.54	 xent: 2.14	  13.60 TFLOP/s	 31478/30572 tok/s	 6144040 sents	  42159 sec	
wiki_eng-fin: 12500	 acc: --	 ppl:  8.41	 xent: 2.13	  12.94 TFLOP/s	 30001/29204 tok/s	 6400060 sents	  43921 sec	
wiki_eng-fin: 13000	 acc: --	 ppl:  8.25	 xent: 2.11	  12.82 TFLOP/s	 29644/28927 tok/s	 6656072 sents	  45737 sec	
wiki_eng-fin: 13500	 acc: --	 ppl:  8.17	 xent: 2.10	  13.20 TFLOP/s	 30571/29757 tok/s	 6912072 sents	  47486 sec	
wiki_eng-fin: 14000	 acc: --	 ppl:  8.14	 xent: 2.10	  13.04 TFLOP/s	 30254/29414 tok/s	 7168060 sents	  49215 sec	
wiki_eng-fin: 14500	 acc: --	 ppl:  8.02	 xent: 2.08	  12.99 TFLOP/s	 30129/29323 tok/s	 7424064 sents	  50947 sec	
wiki_eng-fin: 15000	 acc: --	 ppl:  7.95	 xent: 2.07	  12.92 TFLOP/s	 29978/29168 tok/s	 7680040 sents	  52689 sec	
wiki_eng-fin: 15500	 acc: --	 ppl:  7.86	 xent: 2.06	  12.91 TFLOP/s	 29907/29108 tok/s	 7936040 sents	  54488 sec	
