make[3]: Entering directory '/pfs/lustrep2/scratch/project_462001509/members/tiedeman/MARMoT/models/pytorch/docmt-2pivot-denoise-GAenc-big'
make[4]: Entering directory '/pfs/lustrep2/scratch/project_462001509/members/tiedeman/MARMoT/models/pytorch/docmt-2pivot-denoise-GAenc-big'
zero_deu-ukr: 11000	 acc: --	 ppl:  9.41	 xent: 2.24	  16.97 TFLOP/s	 12025/13830 tok/s	 4554306 sents	  67911 sec	
zero_deu-ukr: 11250	 acc: --	 ppl:  9.28	 xent: 2.23	  14.32 TFLOP/s	 10138/11685 tok/s	 4653647 sents	  69664 sec	
zero_deu-ukr: 11500	 acc: --	 ppl:  8.79	 xent: 2.17	  17.57 TFLOP/s	 12465/14312 tok/s	 4756773 sents	  71147 sec	
zero_deu-ukr: 11750	 acc: --	 ppl:  9.18	 xent: 2.22	  17.29 TFLOP/s	 12277/14079 tok/s	 4859033 sents	  72634 sec	
zero_deu-ukr: 12000	 acc: --	 ppl:  9.23	 xent: 2.22	  17.84 TFLOP/s	 12659/14526 tok/s	 4963243 sents	  74112 sec	
zero_deu-ukr: 12250	 acc: --	 ppl:  8.94	 xent: 2.19	  14.57 TFLOP/s	 10312/11880 tok/s	 5062381 sents	  75834 sec	
make[4]: Leaving directory '/pfs/lustrep2/scratch/project_462001509/members/tiedeman/MARMoT/models/pytorch/docmt-2pivot-denoise-GAenc-big'

make[4]: Entering directory '/pfs/lustrep2/scratch/project_462001509/members/tiedeman/MARMoT/models/pytorch/docmt-2pivot-denoise-GAenc-big'
zero_fra-nld: 250	 acc: --	 ppl: 11041.04	 xent: 9.31	  18.77 TFLOP/s	 14438/14365 tok/s	 103245 sents	   1435 sec	
zero_fra-nld: 500	 acc: --	 ppl: 1159.64	 xent: 7.06	  18.20 TFLOP/s	 14000/13929 tok/s	 205061 sents	   2897 sec	
zero_fra-nld: 750	 acc: --	 ppl: 515.18	 xent: 6.24	  18.78 TFLOP/s	 14462/14373 tok/s	 311954 sents	   4374 sec	
zero_fra-nld: 1000	 acc: --	 ppl: 336.74	 xent: 5.82	  18.01 TFLOP/s	 13849/13795 tok/s	 411115 sents	   5811 sec	
zero_fra-nld: 1250	 acc: --	 ppl: 190.70	 xent: 5.25	  14.76 TFLOP/s	 11361/11292 tok/s	 512540 sents	   7615 sec	
zero_fra-nld: 1500	 acc: --	 ppl: 43.45	 xent: 3.77	  18.68 TFLOP/s	 14377/14298 tok/s	 616960 sents	   9073 sec	
zero_fra-nld: 1750	 acc: --	 ppl: 22.76	 xent: 3.13	  18.29 TFLOP/s	 14089/13993 tok/s	 723659 sents	  10590 sec	
zero_fra-nld: 2000	 acc: --	 ppl: 16.52	 xent: 2.80	  18.58 TFLOP/s	 14300/14213 tok/s	 828913 sents	  12076 sec	
zero_fra-nld: 2250	 acc: --	 ppl: 13.96	 xent: 2.64	  14.48 TFLOP/s	 11139/11079 tok/s	 927330 sents	  13854 sec	
zero_fra-nld: 2500	 acc: --	 ppl: 13.92	 xent: 2.63	  18.50 TFLOP/s	 14233/14156 tok/s	 1030872 sents	  15316 sec	
zero_fra-nld: 2750	 acc: --	 ppl: 12.02	 xent: 2.49	  18.88 TFLOP/s	 14519/14456 tok/s	 1138984 sents	  16804 sec	
zero_fra-nld: 3000	 acc: --	 ppl: 11.87	 xent: 2.47	  18.14 TFLOP/s	 13962/13886 tok/s	 1241499 sents	  18277 sec	
zero_fra-nld: 3250	 acc: --	 ppl: 11.25	 xent: 2.42	  15.19 TFLOP/s	 11675/11632 tok/s	 1344425 sents	  20046 sec	
zero_fra-nld: 3500	 acc: --	 ppl: 10.96	 xent: 2.39	  18.72 TFLOP/s	 14403/14335 tok/s	 1449108 sents	  21505 sec	
zero_fra-nld: 3750	 acc: --	 ppl: 10.15	 xent: 2.32	  19.02 TFLOP/s	 14658/14534 tok/s	 1555011 sents	  22961 sec	
zero_fra-nld: 4000	 acc: --	 ppl: 10.24	 xent: 2.33	  18.21 TFLOP/s	 14009/13940 tok/s	 1658573 sents	  24440 sec	
zero_fra-nld: 4250	 acc: --	 ppl:  9.92	 xent: 2.29	  15.05 TFLOP/s	 11599/11512 tok/s	 1762813 sents	  26246 sec	
zero_fra-nld: 4500	 acc: --	 ppl:  9.61	 xent: 2.26	  18.25 TFLOP/s	 14038/13973 tok/s	 1867302 sents	  27738 sec	
zero_fra-nld: 4750	 acc: --	 ppl:  9.50	 xent: 2.25	  18.43 TFLOP/s	 14198/14085 tok/s	 1971463 sents	  29218 sec	
zero_fra-nld: 5000	 acc: --	 ppl:  9.05	 xent: 2.20	  18.10 TFLOP/s	 13926/13854 tok/s	 2072719 sents	  30678 sec	
zero_fra-nld: 5250	 acc: --	 ppl:  8.58	 xent: 2.15	  14.58 TFLOP/s	 11227/11158 tok/s	 2171168 sents	  32437 sec	
zero_fra-nld: 5500	 acc: --	 ppl:  8.85	 xent: 2.18	  17.98 TFLOP/s	 13845/13747 tok/s	 2274675 sents	  33942 sec	
zero_fra-nld: 5750	 acc: --	 ppl:  8.84	 xent: 2.18	  18.19 TFLOP/s	 14001/13927 tok/s	 2378637 sents	  35419 sec	
zero_fra-nld: 6000	 acc: --	 ppl:  8.79	 xent: 2.17	  18.43 TFLOP/s	 14179/14113 tok/s	 2484900 sents	  36914 sec	
zero_fra-nld: 6250	 acc: --	 ppl:  8.53	 xent: 2.14	  15.21 TFLOP/s	 11709/11642 tok/s	 2589341 sents	  38700 sec	
zero_fra-nld: 6500	 acc: --	 ppl:  8.34	 xent: 2.12	  16.65 TFLOP/s	 12812/12743 tok/s	 2690276 sents	  40281 sec	
zero_fra-nld: 6750	 acc: --	 ppl:  8.52	 xent: 2.14	  18.00 TFLOP/s	 13838/13782 tok/s	 2790325 sents	  41737 sec	
zero_fra-nld: 7000	 acc: --	 ppl:  7.99	 xent: 2.08	  18.01 TFLOP/s	 13863/13784 tok/s	 2891497 sents	  43202 sec	
zero_fra-nld: 7250	 acc: --	 ppl:  8.34	 xent: 2.12	  15.34 TFLOP/s	 11800/11740 tok/s	 2994948 sents	  44970 sec	
zero_fra-nld: 7500	 acc: --	 ppl:  8.64	 xent: 2.16	  18.02 TFLOP/s	 13864/13790 tok/s	 3096456 sents	  46443 sec	
zero_fra-nld: 7750	 acc: --	 ppl:  8.07	 xent: 2.09	  18.50 TFLOP/s	 14223/14161 tok/s	 3200498 sents	  47914 sec	
zero_fra-nld: 8000	 acc: --	 ppl:  8.42	 xent: 2.13	  18.28 TFLOP/s	 14054/14002 tok/s	 3303281 sents	  49381 sec	
zero_fra-nld: 8250	 acc: --	 ppl:  7.99	 xent: 2.08	  15.52 TFLOP/s	 11939/11875 tok/s	 3406657 sents	  51123 sec	
zero_fra-nld: 8500	 acc: --	 ppl:  8.15	 xent: 2.10	  17.93 TFLOP/s	 13790/13735 tok/s	 3508905 sents	  52606 sec	
zero_fra-nld: 8750	 acc: --	 ppl:  7.97	 xent: 2.08	  17.85 TFLOP/s	 13723/13671 tok/s	 3610269 sents	  54084 sec	
zero_fra-nld: 9000	 acc: --	 ppl:  7.95	 xent: 2.07	  18.65 TFLOP/s	 14350/14276 tok/s	 3715043 sents	  55546 sec	
zero_fra-nld: 9250	 acc: --	 ppl:  7.81	 xent: 2.06	  15.24 TFLOP/s	 11740/11661 tok/s	 3818226 sents	  57306 sec	
zero_fra-nld: 9500	 acc: --	 ppl:  8.31	 xent: 2.12	  18.40 TFLOP/s	 14153/14077 tok/s	 3920719 sents	  58766 sec	
zero_fra-nld: 9750	 acc: --	 ppl:  7.70	 xent: 2.04	  18.34 TFLOP/s	 14119/14029 tok/s	 4024327 sents	  60240 sec	
zero_fra-nld: 10000	 acc: --	 ppl:  7.80	 xent: 2.05	  18.63 TFLOP/s	 14342/14254 tok/s	 4128442 sents	  61700 sec	
zero_fra-nld: 10250	 acc: --	 ppl:  7.51	 xent: 2.02	  15.75 TFLOP/s	 12123/12053 tok/s	 4233382 sents	  63437 sec	
zero_fra-nld: 10500	 acc: --	 ppl:  8.13	 xent: 2.10	  18.44 TFLOP/s	 14185/14118 tok/s	 4339065 sents	  64925 sec	
zero_fra-nld: 10750	 acc: --	 ppl:  7.94	 xent: 2.07	  17.97 TFLOP/s	 13831/13755 tok/s	 4441917 sents	  66415 sec	
zero_fra-nld: 11000	 acc: --	 ppl:  8.17	 xent: 2.10	  17.66 TFLOP/s	 13594/13512 tok/s	 4543111 sents	  67911 sec	
zero_fra-nld: 11250	 acc: --	 ppl:  7.81	 xent: 2.06	  14.84 TFLOP/s	 11420/11352 tok/s	 4642972 sents	  69664 sec	
zero_fra-nld: 11500	 acc: --	 ppl:  7.71	 xent: 2.04	  17.85 TFLOP/s	 13728/13670 tok/s	 4744542 sents	  71147 sec	
zero_fra-nld: 11750	 acc: --	 ppl:  8.01	 xent: 2.08	  18.27 TFLOP/s	 14064/13984 tok/s	 4848888 sents	  72634 sec	
zero_fra-nld: 12000	 acc: --	 ppl:  7.92	 xent: 2.07	  18.02 TFLOP/s	 13859/13797 tok/s	 4950816 sents	  74112 sec	
zero_fra-nld: 12250	 acc: --	 ppl:  8.08	 xent: 2.09	  15.05 TFLOP/s	 11595/11511 tok/s	 5050144 sents	  75834 sec	
make[4]: Leaving directory '/pfs/lustrep2/scratch/project_462001509/members/tiedeman/MARMoT/models/pytorch/docmt-2pivot-denoise-GAenc-big'

make[4]: Entering directory '/pfs/lustrep2/scratch/project_462001509/members/tiedeman/MARMoT/models/pytorch/docmt-2pivot-denoise-GAenc-big'
zero_swe-fin: 250	 acc: --	 ppl: 11213.21	 xent: 9.32	  19.02 TFLOP/s	 14391/14733 tok/s	 102604 sents	   1435 sec	
zero_swe-fin: 500	 acc: --	 ppl: 708.19	 xent: 6.56	  18.62 TFLOP/s	 14083/14429 tok/s	 204874 sents	   2897 sec	
zero_swe-fin: 750	 acc: --	 ppl: 385.51	 xent: 5.95	  18.98 TFLOP/s	 14350/14716 tok/s	 311200 sents	   4374 sec	
zero_swe-fin: 1000	 acc: --	 ppl: 236.54	 xent: 5.47	  18.43 TFLOP/s	 13925/14286 tok/s	 410605 sents	   5811 sec	
zero_swe-fin: 1250	 acc: --	 ppl: 137.26	 xent: 4.92	  14.79 TFLOP/s	 11190/11456 tok/s	 510960 sents	   7615 sec	
zero_swe-fin: 1500	 acc: --	 ppl: 40.44	 xent: 3.70	  19.19 TFLOP/s	 14510/14867 tok/s	 615889 sents	   9073 sec	
zero_swe-fin: 1750	 acc: --	 ppl: 21.64	 xent: 3.07	  18.19 TFLOP/s	 13744/14111 tok/s	 720110 sents	  10590 sec	
zero_swe-fin: 2000	 acc: --	 ppl: 15.62	 xent: 2.75	  18.38 TFLOP/s	 13904/14245 tok/s	 822608 sents	  12076 sec	
